"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900052","527","201985","AJ Price","1610612754","Indiana Pacers","4","4","24","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-234","129","1","0","20091103","IND","DEN"
"Shot Chart Detail","0020900052","561","201985","AJ Price","1610612754","Indiana Pacers","4","0","51","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","174","203","1","1","20091103","IND","DEN"
"Shot Chart Detail","0020900073","365","201985","AJ Price","1610612754","Indiana Pacers","3","3","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","212","127","1","1","20091106","IND","WAS"
"Shot Chart Detail","0020900073","372","201985","AJ Price","1610612754","Indiana Pacers","3","3","10","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-18","258","1","1","20091106","IND","WAS"
"Shot Chart Detail","0020900073","414","201985","AJ Price","1610612754","Indiana Pacers","3","0","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-7","255","1","0","20091106","IND","WAS"
"Shot Chart Detail","0020900073","433","201985","AJ Price","1610612754","Indiana Pacers","4","10","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-204","157","1","0","20091106","IND","WAS"
"Shot Chart Detail","0020900109","200","201985","AJ Price","1610612754","Indiana Pacers","2","6","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","154","14","1","0","20091111","IND","GSW"
"Shot Chart Detail","0020900194","509","201985","AJ Price","1610612754","Indiana Pacers","4","1","25","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","92","242","1","1","20091122","CHA","IND"
"Shot Chart Detail","0020900194","511","201985","AJ Price","1610612754","Indiana Pacers","4","1","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","2","255","1","0","20091122","CHA","IND"
"Shot Chart Detail","0020900194","519","201985","AJ Price","1610612754","Indiana Pacers","4","0","48","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-57","160","1","1","20091122","CHA","IND"
