"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020700137","482","201166","Aaron Brooks","1610612745","Houston Rockets","4","1","37","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","204","130","1","1","20071117","HOU","PHX"
"Shot Chart Detail","0020700137","493","201166","Aaron Brooks","1610612745","Houston Rockets","4","0","32","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071117","HOU","PHX"
"Shot Chart Detail","0020700241","467","201166","Aaron Brooks","1610612745","Houston Rockets","4","0","24","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","204","138","1","0","20071201","SAC","HOU"
"Shot Chart Detail","0020700347","427","201166","Aaron Brooks","1610612745","Houston Rockets","4","0","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071215","HOU","DAL"
"Shot Chart Detail","0020700374","109","201166","Aaron Brooks","1610612745","Houston Rockets","1","2","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-171","189","1","0","20071219","HOU","ORL"
"Shot Chart Detail","0020700374","134","201166","Aaron Brooks","1610612745","Houston Rockets","1","0","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","151","214","1","0","20071219","HOU","ORL"
"Shot Chart Detail","0020700380","113","201166","Aaron Brooks","1610612745","Houston Rockets","2","11","40","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-238","23","1","0","20071220","DEN","HOU"
"Shot Chart Detail","0020700380","154","201166","Aaron Brooks","1610612745","Houston Rockets","2","8","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-230","105","1","0","20071220","DEN","HOU"
"Shot Chart Detail","0020700380","160","201166","Aaron Brooks","1610612745","Houston Rockets","2","7","46","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071220","DEN","HOU"
"Shot Chart Detail","0020700380","395","201166","Aaron Brooks","1610612745","Houston Rockets","3","0","0","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-195","0","1","1","20071220","DEN","HOU"
"Shot Chart Detail","0020700380","401","201166","Aaron Brooks","1610612745","Houston Rockets","4","11","38","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071220","DEN","HOU"
"Shot Chart Detail","0020700380","406","201166","Aaron Brooks","1610612745","Houston Rockets","4","10","55","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-41","46","1","1","20071220","DEN","HOU"
"Shot Chart Detail","0020700380","451","201166","Aaron Brooks","1610612745","Houston Rockets","4","7","25","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071220","DEN","HOU"
"Shot Chart Detail","0020700380","472","201166","Aaron Brooks","1610612745","Houston Rockets","4","5","51","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","238","45","1","0","20071220","DEN","HOU"
"Shot Chart Detail","0020700380","476","201166","Aaron Brooks","1610612745","Houston Rockets","4","5","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","177","174","1","0","20071220","DEN","HOU"
"Shot Chart Detail","0020700396","133","201166","Aaron Brooks","1610612745","Houston Rockets","2","9","0","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071222","CHI","HOU"
"Shot Chart Detail","0020700396","372","201166","Aaron Brooks","1610612745","Houston Rockets","4","8","55","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071222","CHI","HOU"
"Shot Chart Detail","0020700396","385","201166","Aaron Brooks","1610612745","Houston Rockets","4","7","30","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","31","169","1","1","20071222","CHI","HOU"
"Shot Chart Detail","0020700396","436","201166","Aaron Brooks","1610612745","Houston Rockets","4","3","46","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071222","CHI","HOU"
"Shot Chart Detail","0020700396","444","201166","Aaron Brooks","1610612745","Houston Rockets","4","2","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-182","164","1","0","20071222","CHI","HOU"
