"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400001","164","203932","Aaron Gordon","1610612753","Orlando Magic","2","11","34","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","10","44","1","1","20141028","NOP","ORL"
"Shot Chart Detail","0021400001","198","203932","Aaron Gordon","1610612753","Orlando Magic","2","9","13","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","20","1","1","20141028","NOP","ORL"
"Shot Chart Detail","0021400001","275","203932","Aaron Gordon","1610612753","Orlando Magic","2","2","55","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","234","0","1","0","20141028","NOP","ORL"
"Shot Chart Detail","0021400001","381","203932","Aaron Gordon","1610612753","Orlando Magic","3","5","1","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","9","58","1","1","20141028","NOP","ORL"
"Shot Chart Detail","0021400001","524","203932","Aaron Gordon","1610612753","Orlando Magic","4","5","58","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","-46","105","1","0","20141028","NOP","ORL"
"Shot Chart Detail","0021400001","575","203932","Aaron Gordon","1610612753","Orlando Magic","4","2","19","Made Shot","Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","26","1","1","20141028","NOP","ORL"
"Shot Chart Detail","0021400001","577","203932","Aaron Gordon","1610612753","Orlando Magic","4","1","53","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-10","20","1","0","20141028","NOP","ORL"
"Shot Chart Detail","0021400001","578","203932","Aaron Gordon","1610612753","Orlando Magic","4","1","52","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","14","1","1","20141028","NOP","ORL"
"Shot Chart Detail","0021400016","147","203932","Aaron Gordon","1610612753","Orlando Magic","2","9","8","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141030","ORL","WAS"
"Shot Chart Detail","0021400016","164","203932","Aaron Gordon","1610612753","Orlando Magic","2","7","55","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","29","85","1","1","20141030","ORL","WAS"
"Shot Chart Detail","0021400016","221","203932","Aaron Gordon","1610612753","Orlando Magic","2","3","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-87","244","1","0","20141030","ORL","WAS"
"Shot Chart Detail","0021400016","371","203932","Aaron Gordon","1610612753","Orlando Magic","3","0","38","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","17","58","1","0","20141030","ORL","WAS"
"Shot Chart Detail","0021400029","608","203932","Aaron Gordon","1610612753","Orlando Magic","4","0","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","196","6","1","0","20141101","ORL","TOR"
"Shot Chart Detail","0021400053","142","203932","Aaron Gordon","1610612753","Orlando Magic","2","10","11","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","-3","1","0","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","147","203932","Aaron Gordon","1610612753","Orlando Magic","2","9","36","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-19","190","1","1","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","154","203932","Aaron Gordon","1610612753","Orlando Magic","2","8","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","143","222","1","0","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","344","203932","Aaron Gordon","1610612753","Orlando Magic","3","2","36","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","425","203932","Aaron Gordon","1610612753","Orlando Magic","4","7","13","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","2","20","1","0","20141104","CHI","ORL"
"Shot Chart Detail","0021400053","435","203932","Aaron Gordon","1610612753","Orlando Magic","4","6","53","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-105","15","1","1","20141104","CHI","ORL"
"Shot Chart Detail","0021400058","85","203932","Aaron Gordon","1610612753","Orlando Magic","1","4","21","Made Shot","Reverse Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141105","PHI","ORL"
"Shot Chart Detail","0021400058","105","203932","Aaron Gordon","1610612753","Orlando Magic","1","1","58","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-29","-2","1","0","20141105","PHI","ORL"
"Shot Chart Detail","0021400072","132","203932","Aaron Gordon","1610612753","Orlando Magic","2","8","34","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","29","260","1","1","20141107","ORL","MIN"
"Shot Chart Detail","0021400072","145","203932","Aaron Gordon","1610612753","Orlando Magic","2","7","30","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141107","ORL","MIN"
"Shot Chart Detail","0021400072","148","203932","Aaron Gordon","1610612753","Orlando Magic","2","7","11","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-45","82","1","0","20141107","ORL","MIN"
"Shot Chart Detail","0021400072","404","203932","Aaron Gordon","1610612753","Orlando Magic","4","8","10","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141107","ORL","MIN"
"Shot Chart Detail","0021400072","426","203932","Aaron Gordon","1610612753","Orlando Magic","4","6","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","12","25","1","0","20141107","ORL","MIN"
"Shot Chart Detail","0021400072","449","203932","Aaron Gordon","1610612753","Orlando Magic","4","4","21","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-32","55","1","1","20141107","ORL","MIN"
"Shot Chart Detail","0021400072","452","203932","Aaron Gordon","1610612753","Orlando Magic","4","3","53","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","10","23","1","0","20141107","ORL","MIN"
"Shot Chart Detail","0021400072","532","203932","Aaron Gordon","1610612753","Orlando Magic","5","4","31","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141107","ORL","MIN"
"Shot Chart Detail","0021400072","573","203932","Aaron Gordon","1610612753","Orlando Magic","5","1","35","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","30","1","1","20141107","ORL","MIN"
"Shot Chart Detail","0021400090","161","203932","Aaron Gordon","1610612753","Orlando Magic","2","8","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","-10","1","0","20141109","BKN","ORL"
"Shot Chart Detail","0021400090","176","203932","Aaron Gordon","1610612753","Orlando Magic","2","6","47","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","4","1","1","20141109","BKN","ORL"
"Shot Chart Detail","0021400090","392","203932","Aaron Gordon","1610612753","Orlando Magic","4","5","56","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","6","1","0","20141109","BKN","ORL"
"Shot Chart Detail","0021400103","191","203932","Aaron Gordon","1610612753","Orlando Magic","2","5","25","Missed Shot","Running Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","14","12","1","0","20141111","TOR","ORL"
"Shot Chart Detail","0021400103","393","203932","Aaron Gordon","1610612753","Orlando Magic","4","11","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","140","34","1","0","20141111","TOR","ORL"
"Shot Chart Detail","0021400113","114","203932","Aaron Gordon","1610612753","Orlando Magic","1","1","37","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","14","1","1","20141112","NYK","ORL"
"Shot Chart Detail","0021400123","82","203932","Aaron Gordon","1610612753","Orlando Magic","1","3","45","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","9","1","1","20141114","ORL","MIL"
"Shot Chart Detail","0021400123","162","203932","Aaron Gordon","1610612753","Orlando Magic","2","9","32","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141114","ORL","MIL"
