"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020700024","80","201189","Aaron Gray","1610612741","Chicago Bulls","1","2","37","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071102","CHI","PHI"
"Shot Chart Detail","0020700082","378","201189","Aaron Gray","1610612741","Chicago Bulls","4","6","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-145","-6","1","0","20071110","CHI","TOR"
"Shot Chart Detail","0020700082","410","201189","Aaron Gray","1610612741","Chicago Bulls","4","3","21","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071110","CHI","TOR"
"Shot Chart Detail","0020700144","462","201189","Aaron Gray","1610612741","Chicago Bulls","4","4","56","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","0","72","1","0","20071118","LAL","CHI"
"Shot Chart Detail","0020700144","464","201189","Aaron Gray","1610612741","Chicago Bulls","4","4","42","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-5","54","1","1","20071118","LAL","CHI"
"Shot Chart Detail","0020700144","491","201189","Aaron Gray","1610612741","Chicago Bulls","4","2","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","85","176","1","0","20071118","LAL","CHI"
"Shot Chart Detail","0020700144","498","201189","Aaron Gray","1610612741","Chicago Bulls","4","1","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071118","LAL","CHI"
"Shot Chart Detail","0020700144","505","201189","Aaron Gray","1610612741","Chicago Bulls","4","0","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-41","171","1","0","20071118","LAL","CHI"
"Shot Chart Detail","0020700155","378","201189","Aaron Gray","1610612741","Chicago Bulls","3","1","33","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-31","46","1","1","20071120","DEN","CHI"
"Shot Chart Detail","0020700155","432","201189","Aaron Gray","1610612741","Chicago Bulls","4","7","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071120","DEN","CHI"
"Shot Chart Detail","0020700155","436","201189","Aaron Gray","1610612741","Chicago Bulls","4","6","54","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071120","DEN","CHI"
"Shot Chart Detail","0020700155","491","201189","Aaron Gray","1610612741","Chicago Bulls","4","1","6","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071120","DEN","CHI"
"Shot Chart Detail","0020700155","500","201189","Aaron Gray","1610612741","Chicago Bulls","4","0","43","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071120","DEN","CHI"
"Shot Chart Detail","0020700208","473","201189","Aaron Gray","1610612741","Chicago Bulls","4","2","18","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071127","CHI","ATL"
"Shot Chart Detail","0020700208","489","201189","Aaron Gray","1610612741","Chicago Bulls","4","0","19","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","0","69","1","0","20071127","CHI","ATL"
"Shot Chart Detail","0020700239","446","201189","Aaron Gray","1610612741","Chicago Bulls","4","1","1","Made Shot","Turnaround Bank shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-87","5","1","1","20071201","CHI","CHA"
