"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700007","97","1627846","Abdel Nader","1610612738","Boston Celtics","1","3","52","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","-1","1","0","20171018","BOS","MIL"
"Shot Chart Detail","0021700007","119","1627846","Abdel Nader","1610612738","Boston Celtics","1","2","14","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","48","130","1","0","20171018","BOS","MIL"
"Shot Chart Detail","0021700007","160","1627846","Abdel Nader","1610612738","Boston Celtics","2","11","41","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","4","1","1","20171018","BOS","MIL"
"Shot Chart Detail","0021700007","454","1627846","Abdel Nader","1610612738","Boston Celtics","3","2","33","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","17","1","1","20171018","BOS","MIL"
"Shot Chart Detail","0021700019","181","1627846","Abdel Nader","1610612738","Boston Celtics","1","0","27","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","3","71","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","218","1627846","Abdel Nader","1610612738","Boston Celtics","2","9","26","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","15","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700092","291","1627846","Abdel Nader","1610612738","Boston Celtics","2","2","55","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","15","1","0","20171030","BOS","SAS"
"Shot Chart Detail","0021700092","293","1627846","Abdel Nader","1610612738","Boston Celtics","2","2","54","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20171030","BOS","SAS"
"Shot Chart Detail","0021700092","646","1627846","Abdel Nader","1610612738","Boston Celtics","4","1","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","183","175","1","0","20171030","BOS","SAS"
"Shot Chart Detail","0021700109","465","1627846","Abdel Nader","1610612738","Boston Celtics","4","10","3","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","56","1","0","20171101","BOS","SAC"
"Shot Chart Detail","0021700109","522","1627846","Abdel Nader","1610612738","Boston Celtics","4","6","8","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","0","30","1","1","20171101","BOS","SAC"
"Shot Chart Detail","0021700109","563","1627846","Abdel Nader","1610612738","Boston Celtics","4","2","54","Made Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-78","25","1","1","20171101","BOS","SAC"
"Shot Chart Detail","0021700109","575","1627846","Abdel Nader","1610612738","Boston Celtics","4","1","44","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-8","19","1","0","20171101","BOS","SAC"
"Shot Chart Detail","0021700109","577","1627846","Abdel Nader","1610612738","Boston Celtics","4","1","41","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","26","13","1","0","20171101","BOS","SAC"
"Shot Chart Detail","0021700109","593","1627846","Abdel Nader","1610612738","Boston Celtics","4","0","42","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","171","200","1","1","20171101","BOS","SAC"
"Shot Chart Detail","0021700138","645","1627846","Abdel Nader","1610612738","Boston Celtics","4","0","45","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-16","91","1","0","20171105","ORL","BOS"
"Shot Chart Detail","0021700249","247","1627846","Abdel Nader","1610612738","Boston Celtics","2","4","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-77","257","1","0","20171120","DAL","BOS"
"Shot Chart Detail","0021700269","631","1627846","Abdel Nader","1610612738","Boston Celtics","4","1","17","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-119","250","1","1","20171124","BOS","ORL"
"Shot Chart Detail","0021700281","79","1627846","Abdel Nader","1610612738","Boston Celtics","1","4","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","16","1","0","20171125","IND","BOS"
"Shot Chart Detail","0021700356","224","1627846","Abdel Nader","1610612738","Boston Celtics","2","7","28","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","59","1","1","20171206","BOS","DAL"
"Shot Chart Detail","0021700356","251","1627846","Abdel Nader","1610612738","Boston Celtics","2","5","43","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-60","27","1","0","20171206","BOS","DAL"
"Shot Chart Detail","0021700356","279","1627846","Abdel Nader","1610612738","Boston Celtics","2","3","57","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","223","47","1","0","20171206","BOS","DAL"
"Shot Chart Detail","0021700391","199","1627846","Abdel Nader","1610612738","Boston Celtics","2","6","43","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","31","1","0","20171211","CHI","BOS"
"Shot Chart Detail","0021700391","230","1627846","Abdel Nader","1610612738","Boston Celtics","2","4","35","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-223","-4","1","0","20171211","CHI","BOS"
"Shot Chart Detail","0021700391","533","1627846","Abdel Nader","1610612738","Boston Celtics","4","4","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-169","197","1","0","20171211","CHI","BOS"
"Shot Chart Detail","0021700391","545","1627846","Abdel Nader","1610612738","Boston Celtics","4","3","52","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","11","1","1","20171211","CHI","BOS"
