"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020700019","22","201143","Al Horford","1610612737","Atlanta Hawks","1","9","14","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071102","ATL","DAL"
"Shot Chart Detail","0020700019","47","201143","Al Horford","1610612737","Atlanta Hawks","1","6","42","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071102","ATL","DAL"
"Shot Chart Detail","0020700019","104","201143","Al Horford","1610612737","Atlanta Hawks","1","2","25","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071102","ATL","DAL"
"Shot Chart Detail","0020700019","133","201143","Al Horford","1610612737","Atlanta Hawks","2","11","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071102","ATL","DAL"
"Shot Chart Detail","0020700039","4","201143","Al Horford","1610612737","Atlanta Hawks","1","11","20","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-43","84","1","1","20071104","DET","ATL"
"Shot Chart Detail","0020700039","13","201143","Al Horford","1610612737","Atlanta Hawks","1","9","47","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","80","15","1","0","20071104","DET","ATL"
"Shot Chart Detail","0020700039","25","201143","Al Horford","1610612737","Atlanta Hawks","1","7","59","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071104","DET","ATL"
"Shot Chart Detail","0020700039","189","201143","Al Horford","1610612737","Atlanta Hawks","2","3","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-44","58","1","0","20071104","DET","ATL"
"Shot Chart Detail","0020700039","232","201143","Al Horford","1610612737","Atlanta Hawks","3","11","13","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071104","DET","ATL"
"Shot Chart Detail","0020700039","357","201143","Al Horford","1610612737","Atlanta Hawks","4","9","6","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071104","DET","ATL"
"Shot Chart Detail","0020700045","2","201143","Al Horford","1610612737","Atlanta Hawks","1","11","39","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-154","84","1","0","20071106","NJN","ATL"
"Shot Chart Detail","0020700045","62","201143","Al Horford","1610612737","Atlanta Hawks","1","4","30","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-80","48","1","1","20071106","NJN","ATL"
"Shot Chart Detail","0020700045","73","201143","Al Horford","1610612737","Atlanta Hawks","1","3","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","130","99","1","0","20071106","NJN","ATL"
"Shot Chart Detail","0020700045","182","201143","Al Horford","1610612737","Atlanta Hawks","2","5","1","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071106","NJN","ATL"
"Shot Chart Detail","0020700045","197","201143","Al Horford","1610612737","Atlanta Hawks","2","3","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","110","143","1","1","20071106","NJN","ATL"
"Shot Chart Detail","0020700045","275","201143","Al Horford","1610612737","Atlanta Hawks","3","8","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","26","192","1","0","20071106","NJN","ATL"
"Shot Chart Detail","0020700056","55","201143","Al Horford","1610612737","Atlanta Hawks","1","5","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","176","94","1","0","20071107","ATL","PHX"
"Shot Chart Detail","0020700056","210","201143","Al Horford","1610612737","Atlanta Hawks","2","2","52","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","33","51","1","1","20071107","ATL","PHX"
"Shot Chart Detail","0020700056","213","201143","Al Horford","1610612737","Atlanta Hawks","2","2","29","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-33","160","1","1","20071107","ATL","PHX"
"Shot Chart Detail","0020700056","230","201143","Al Horford","1610612737","Atlanta Hawks","2","0","46","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","38","45","1","0","20071107","ATL","PHX"
"Shot Chart Detail","0020700056","248","201143","Al Horford","1610612737","Atlanta Hawks","3","10","51","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071107","ATL","PHX"
"Shot Chart Detail","0020700068","3","201143","Al Horford","1610612737","Atlanta Hawks","1","11","26","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","-2","127","1","0","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","5","201143","Al Horford","1610612737","Atlanta Hawks","1","11","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","51","31","1","0","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","39","201143","Al Horford","1610612737","Atlanta Hawks","1","5","33","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","3","1","1","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","47","201143","Al Horford","1610612737","Atlanta Hawks","1","4","57","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","13","1","1","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","51","201143","Al Horford","1610612737","Atlanta Hawks","1","4","0","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","21","49","1","1","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","57","201143","Al Horford","1610612737","Atlanta Hawks","1","2","48","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-57","173","1","1","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","177","201143","Al Horford","1610612737","Atlanta Hawks","2","4","4","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","13","1","0","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","224","201143","Al Horford","1610612737","Atlanta Hawks","3","10","47","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","15","80","138","1","0","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","250","201143","Al Horford","1610612737","Atlanta Hawks","3","8","31","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-10","64","1","0","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","256","201143","Al Horford","1610612737","Atlanta Hawks","3","7","15","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-148","15","1","1","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","365","201143","Al Horford","1610612737","Atlanta Hawks","4","6","36","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","11","41","1","0","20071109","BOS","ATL"
"Shot Chart Detail","0020700068","387","201143","Al Horford","1610612737","Atlanta Hawks","4","5","19","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","14","-52","130","1","0","20071109","BOS","ATL"
"Shot Chart Detail","0020700086","2","201143","Al Horford","1610612737","Atlanta Hawks","1","11","43","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","15","87","1","0","20071111","ATL","WAS"
"Shot Chart Detail","0020700086","9","201143","Al Horford","1610612737","Atlanta Hawks","1","10","37","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-26","99","1","1","20071111","ATL","WAS"
"Shot Chart Detail","0020700086","37","201143","Al Horford","1610612737","Atlanta Hawks","1","7","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","89","155","1","0","20071111","ATL","WAS"
"Shot Chart Detail","0020700086","75","201143","Al Horford","1610612737","Atlanta Hawks","1","3","12","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071111","ATL","WAS"
"Shot Chart Detail","0020700086","392","201143","Al Horford","1610612737","Atlanta Hawks","4","9","23","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071111","ATL","WAS"
"Shot Chart Detail","0020700106","128","201143","Al Horford","1610612737","Atlanta Hawks","2","10","40","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-117","92","1","1","20071114","ATL","CHA"
"Shot Chart Detail","0020700106","271","201143","Al Horford","1610612737","Atlanta Hawks","3","8","3","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071114","ATL","CHA"
"Shot Chart Detail","0020700106","324","201143","Al Horford","1610612737","Atlanta Hawks","3","2","5","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071114","ATL","CHA"
"Shot Chart Detail","0020700106","349","201143","Al Horford","1610612737","Atlanta Hawks","4","11","44","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071114","ATL","CHA"
"Shot Chart Detail","0020700106","361","201143","Al Horford","1610612737","Atlanta Hawks","4","9","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071114","ATL","CHA"
