"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700114","558","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","7","11","Made Shot","Turnaround Fadeaway Bank Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","60","29","1","1","20171101","DEN","TOR"
"Shot Chart Detail","0021700114","618","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","3","19","Made Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-47","47","1","1","20171101","DEN","TOR"
"Shot Chart Detail","0021700114","657","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","0","40","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","31","1","1","20171101","DEN","TOR"
"Shot Chart Detail","0021700280","566","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","2","41","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","14","1","1","20171125","ATL","TOR"
"Shot Chart Detail","0021700280","569","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","2","3","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","11","1","0","20171125","ATL","TOR"
"Shot Chart Detail","0021700280","587","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","0","23","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","-8","1","0","20171125","ATL","TOR"
"Shot Chart Detail","0021700424","522","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","5","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","58","249","1","0","20171215","TOR","BKN"
"Shot Chart Detail","0021700705","633","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","5","24","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","1","179","1","1","20180124","ATL","TOR"
"Shot Chart Detail","0021700705","643","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","4","39","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","110","225","1","0","20180124","ATL","TOR"
"Shot Chart Detail","0021700769","561","1628035","Alfonzo McKinnie","1610612761","Toronto Raptors","4","2","32","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-47","20","1","0","20180202","TOR","POR"
