"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000002","243","1889","Andre Miller","1610612739","Cleveland Cavaliers","2","0","37","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001031","NJN","CLE"
"Shot Chart Detail","0020000002","257","1889","Andre Miller","1610612739","Cleveland Cavaliers","2","0","11","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001031","NJN","CLE"
"Shot Chart Detail","0020000002","267","1889","Andre Miller","1610612739","Cleveland Cavaliers","3","11","46","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","37","76","1","1","20001031","NJN","CLE"
"Shot Chart Detail","0020000002","294","1889","Andre Miller","1610612739","Cleveland Cavaliers","3","9","10","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","NJN","CLE"
"Shot Chart Detail","0020000002","332","1889","Andre Miller","1610612739","Cleveland Cavaliers","3","5","19","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","NJN","CLE"
"Shot Chart Detail","0020000018","17","1889","Andre Miller","1610612739","Cleveland Cavaliers","1","9","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-98","127","1","0","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","225","1889","Andre Miller","1610612739","Cleveland Cavaliers","2","2","53","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-134","85","1","1","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","235","1889","Andre Miller","1610612739","Cleveland Cavaliers","2","1","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","210","137","1","0","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","269","1889","Andre Miller","1610612739","Cleveland Cavaliers","3","9","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","180","-8","1","0","20001101","CLE","SAC"
"Shot Chart Detail","0020000018","294","1889","Andre Miller","1610612739","Cleveland Cavaliers","3","6","25","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","0","1","1","20001101","CLE","SAC"
