"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020400076","514","2740","Andris Biedrins","1610612744","Golden State Warriors","4","2","4","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041112","MEM","GSW"
"Shot Chart Detail","0020400076","523","2740","Andris Biedrins","1610612744","Golden State Warriors","4","1","19","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","92","79","1","0","20041112","MEM","GSW"
"Shot Chart Detail","0020400487","344","2740","Andris Biedrins","1610612744","Golden State Warriors","3","0","0","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-31","54","1","0","20050109","TOR","GSW"
"Shot Chart Detail","0020400487","398","2740","Andris Biedrins","1610612744","Golden State Warriors","4","6","46","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","26","23","1","0","20050109","TOR","GSW"
"Shot Chart Detail","0020400487","465","2740","Andris Biedrins","1610612744","Golden State Warriors","4","0","36","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-64","40","1","1","20050109","TOR","GSW"
"Shot Chart Detail","0020400877","318","2740","Andris Biedrins","1610612744","Golden State Warriors","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","29","-202","209","1","0","20050306","NYK","GSW"
"Shot Chart Detail","0020400877","343","2740","Andris Biedrins","1610612744","Golden State Warriors","4","8","33","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050306","NYK","GSW"
"Shot Chart Detail","0020400877","355","2740","Andris Biedrins","1610612744","Golden State Warriors","4","7","24","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050306","NYK","GSW"
"Shot Chart Detail","0020400898","84","2740","Andris Biedrins","1610612744","Golden State Warriors","1","2","0","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050309","DET","GSW"
"Shot Chart Detail","0020400898","362","2740","Andris Biedrins","1610612744","Golden State Warriors","4","10","28","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050309","DET","GSW"
"Shot Chart Detail","0020400898","373","2740","Andris Biedrins","1610612744","Golden State Warriors","4","9","1","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050309","DET","GSW"
"Shot Chart Detail","0020400898","376","2740","Andris Biedrins","1610612744","Golden State Warriors","4","8","19","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050309","DET","GSW"
"Shot Chart Detail","0020400907","344","2740","Andris Biedrins","1610612744","Golden State Warriors","3","3","39","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","-3","1","1","20050311","IND","GSW"
"Shot Chart Detail","0020400907","387","2740","Andris Biedrins","1610612744","Golden State Warriors","4","11","35","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","0","1","1","20050311","IND","GSW"
"Shot Chart Detail","0020400907","438","2740","Andris Biedrins","1610612744","Golden State Warriors","4","5","42","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","10","1","1","20050311","IND","GSW"
"Shot Chart Detail","0020400916","115","2740","Andris Biedrins","1610612744","Golden State Warriors","2","11","46","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050312","ATL","GSW"
"Shot Chart Detail","0020400936","128","2740","Andris Biedrins","1610612744","Golden State Warriors","2","9","42","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","36","18","1","0","20050314","GSW","HOU"
"Shot Chart Detail","0020400936","360","2740","Andris Biedrins","1610612744","Golden State Warriors","4","11","43","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-13","35","1","0","20050314","GSW","HOU"
"Shot Chart Detail","0020400936","365","2740","Andris Biedrins","1610612744","Golden State Warriors","4","11","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","18","1","0","20050314","GSW","HOU"
"Shot Chart Detail","0020400936","368","2740","Andris Biedrins","1610612744","Golden State Warriors","4","10","55","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050314","GSW","HOU"
"Shot Chart Detail","0020400956","122","2740","Andris Biedrins","1610612744","Golden State Warriors","2","8","52","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","2","1","1","20050317","GSW","SAC"
"Shot Chart Detail","0020400956","275","2740","Andris Biedrins","1610612744","Golden State Warriors","3","5","3","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-18","18","1","0","20050317","GSW","SAC"
"Shot Chart Detail","0020400956","332","2740","Andris Biedrins","1610612744","Golden State Warriors","4","9","39","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","29","22","1","1","20050317","GSW","SAC"
"Shot Chart Detail","0020400956","339","2740","Andris Biedrins","1610612744","Golden State Warriors","4","8","11","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-28","23","1","0","20050317","GSW","SAC"
"Shot Chart Detail","0020400968","64","2740","Andris Biedrins","1610612744","Golden State Warriors","1","3","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-89","49","1","0","20050318","PHX","GSW"
"Shot Chart Detail","0020400968","72","2740","Andris Biedrins","1610612744","Golden State Warriors","1","2","38","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","69","69","1","0","20050318","PHX","GSW"
"Shot Chart Detail","0020400968","180","2740","Andris Biedrins","1610612744","Golden State Warriors","2","5","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20050318","PHX","GSW"
"Shot Chart Detail","0020400968","240","2740","Andris Biedrins","1610612744","Golden State Warriors","2","0","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-138","23","1","0","20050318","PHX","GSW"
"Shot Chart Detail","0020400968","306","2740","Andris Biedrins","1610612744","Golden State Warriors","3","5","53","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","0","82","1","1","20050318","PHX","GSW"
"Shot Chart Detail","0020400968","325","2740","Andris Biedrins","1610612744","Golden State Warriors","3","3","52","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050318","PHX","GSW"
"Shot Chart Detail","0020400968","355","2740","Andris Biedrins","1610612744","Golden State Warriors","3","1","45","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20050318","PHX","GSW"
"Shot Chart Detail","0020400968","357","2740","Andris Biedrins","1610612744","Golden State Warriors","3","1","42","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050318","PHX","GSW"
"Shot Chart Detail","0020400983","40","2740","Andris Biedrins","1610612744","Golden State Warriors","1","6","50","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050320","SAC","GSW"
"Shot Chart Detail","0020400983","195","2740","Andris Biedrins","1610612744","Golden State Warriors","2","2","6","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-54","18","1","1","20050320","SAC","GSW"
"Shot Chart Detail","0020400983","226","2740","Andris Biedrins","1610612744","Golden State Warriors","3","11","40","Made Shot","Reverse Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050320","SAC","GSW"
"Shot Chart Detail","0020400983","264","2740","Andris Biedrins","1610612744","Golden State Warriors","3","7","35","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050320","SAC","GSW"
"Shot Chart Detail","0020400983","386","2740","Andris Biedrins","1610612744","Golden State Warriors","4","8","56","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050320","SAC","GSW"
"Shot Chart Detail","0020401005","83","2740","Andris Biedrins","1610612744","Golden State Warriors","1","3","34","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","-3","1","1","20050323","GSW","DAL"
"Shot Chart Detail","0020401005","221","2740","Andris Biedrins","1610612744","Golden State Warriors","2","2","11","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-15","17","1","1","20050323","GSW","DAL"
"Shot Chart Detail","0020401005","223","2740","Andris Biedrins","1610612744","Golden State Warriors","2","1","32","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","5","1","1","20050323","GSW","DAL"
"Shot Chart Detail","0020401020","98","2740","Andris Biedrins","1610612744","Golden State Warriors","1","1","35","Missed Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","66","51","1","0","20050325","GSW","MIL"
"Shot Chart Detail","0020401020","107","2740","Andris Biedrins","1610612744","Golden State Warriors","1","0","47","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","17","1","0","20050325","GSW","MIL"
"Shot Chart Detail","0020401020","341","2740","Andris Biedrins","1610612744","Golden State Warriors","3","2","20","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","-1","1","1","20050325","GSW","MIL"
"Shot Chart Detail","0020401020","370","2740","Andris Biedrins","1610612744","Golden State Warriors","4","11","13","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","5","1","1","20050325","GSW","MIL"
"Shot Chart Detail","0020401047","51","2740","Andris Biedrins","1610612744","Golden State Warriors","1","5","14","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","36","25","1","0","20050328","GSW","NYK"
"Shot Chart Detail","0020401047","305","2740","Andris Biedrins","1610612744","Golden State Warriors","3","6","16","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","28","38","1","0","20050328","GSW","NYK"
"Shot Chart Detail","0020401058","91","2740","Andris Biedrins","1610612744","Golden State Warriors","1","2","25","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050330","MIL","GSW"
"Shot Chart Detail","0020401058","337","2740","Andris Biedrins","1610612744","Golden State Warriors","3","1","14","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20050330","MIL","GSW"
"Shot Chart Detail","0020401075","204","2740","Andris Biedrins","1610612744","Golden State Warriors","2","6","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20050401","UTA","GSW"
"Shot Chart Detail","0020401075","341","2740","Andris Biedrins","1610612744","Golden State Warriors","3","6","51","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050401","UTA","GSW"
"Shot Chart Detail","0020401075","382","2740","Andris Biedrins","1610612744","Golden State Warriors","3","1","59","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20050401","UTA","GSW"
"Shot Chart Detail","0020401075","420","2740","Andris Biedrins","1610612744","Golden State Warriors","4","11","29","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050401","UTA","GSW"
"Shot Chart Detail","0020401091","75","2740","Andris Biedrins","1610612744","Golden State Warriors","1","2","44","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-28","23","1","0","20050403","GSW","SEA"
"Shot Chart Detail","0020401091","76","2740","Andris Biedrins","1610612744","Golden State Warriors","1","2","42","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","10","1","1","20050403","GSW","SEA"
"Shot Chart Detail","0020401091","398","2740","Andris Biedrins","1610612744","Golden State Warriors","4","8","1","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20050403","GSW","SEA"
