"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000016","105","1853","Anthony Carter","1610612748","Miami Heat","1","0","55","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","116","1853","Anthony Carter","1610612748","Miami Heat","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","153","192","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","163","1853","Anthony Carter","1610612748","Miami Heat","2","7","12","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","32","165","1","1","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","169","1853","Anthony Carter","1610612748","Miami Heat","2","6","31","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","180","1853","Anthony Carter","1610612748","Miami Heat","2","5","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","146","0","1","1","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","190","1853","Anthony Carter","1610612748","Miami Heat","2","4","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","-16","215","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","195","1853","Anthony Carter","1610612748","Miami Heat","2","3","47","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","373","1853","Anthony Carter","1610612748","Miami Heat","3","0","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","182","122","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000031","83","1853","Anthony Carter","1610612748","Miami Heat","1","4","11","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001103","CHH","MIA"
"Shot Chart Detail","0020000031","109","1853","Anthony Carter","1610612748","Miami Heat","1","2","5","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001103","CHH","MIA"
"Shot Chart Detail","0020000031","182","1853","Anthony Carter","1610612748","Miami Heat","2","7","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001103","CHH","MIA"
"Shot Chart Detail","0020000031","189","1853","Anthony Carter","1610612748","Miami Heat","2","6","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-128","53","1","0","20001103","CHH","MIA"
"Shot Chart Detail","0020000031","392","1853","Anthony Carter","1610612748","Miami Heat","4","9","19","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001103","CHH","MIA"
"Shot Chart Detail","0020000031","429","1853","Anthony Carter","1610612748","Miami Heat","4","4","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","100","152","1","0","20001103","CHH","MIA"
"Shot Chart Detail","0020000031","474","1853","Anthony Carter","1610612748","Miami Heat","4","0","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-162","30","1","0","20001103","CHH","MIA"
"Shot Chart Detail","0020000035","87","1853","Anthony Carter","1610612748","Miami Heat","1","1","0","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-60","175","1","1","20001104","MIA","PHI"
"Shot Chart Detail","0020000035","135","1853","Anthony Carter","1610612748","Miami Heat","2","7","53","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","87","141","1","1","20001104","MIA","PHI"
"Shot Chart Detail","0020000035","215","1853","Anthony Carter","1610612748","Miami Heat","2","0","35","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001104","MIA","PHI"
"Shot Chart Detail","0020000035","349","1853","Anthony Carter","1610612748","Miami Heat","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","67","150","660","1","0","20001104","MIA","PHI"
"Shot Chart Detail","0020000065","115","1853","Anthony Carter","1610612748","Miami Heat","2","11","0","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001108","MIA","SEA"
"Shot Chart Detail","0020000065","124","1853","Anthony Carter","1610612748","Miami Heat","2","10","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","68","122","1","0","20001108","MIA","SEA"
"Shot Chart Detail","0020000065","178","1853","Anthony Carter","1610612748","Miami Heat","2","3","38","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001108","MIA","SEA"
"Shot Chart Detail","0020000065","213","1853","Anthony Carter","1610612748","Miami Heat","2","0","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","176","17","1","0","20001108","MIA","SEA"
"Shot Chart Detail","0020000065","336","1853","Anthony Carter","1610612748","Miami Heat","4","9","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","140","165","1","0","20001108","MIA","SEA"
"Shot Chart Detail","0020000065","360","1853","Anthony Carter","1610612748","Miami Heat","4","7","29","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001108","MIA","SEA"
"Shot Chart Detail","0020000065","372","1853","Anthony Carter","1610612748","Miami Heat","4","5","50","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","56","112","1","0","20001108","MIA","SEA"
"Shot Chart Detail","0020000083","140","1853","Anthony Carter","1610612748","Miami Heat","2","6","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","191","4","1","0","20001110","UTA","MIA"
"Shot Chart Detail","0020000083","297","1853","Anthony Carter","1610612748","Miami Heat","3","0","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","108","179","1","1","20001110","UTA","MIA"
"Shot Chart Detail","0020000094","117","1853","Anthony Carter","1610612748","Miami Heat","1","0","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","136","152","1","0","20001111","PHX","MIA"
"Shot Chart Detail","0020000094","149","1853","Anthony Carter","1610612748","Miami Heat","2","9","35","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-84","4","1","1","20001111","PHX","MIA"
"Shot Chart Detail","0020000094","405","1853","Anthony Carter","1610612748","Miami Heat","4","7","10","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","43","28","1","1","20001111","PHX","MIA"
"Shot Chart Detail","0020000094","421","1853","Anthony Carter","1610612748","Miami Heat","4","5","47","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-42","34","1","1","20001111","PHX","MIA"
"Shot Chart Detail","0020000103","115","1853","Anthony Carter","1610612748","Miami Heat","2","9","16","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001114","MIA","CHH"
"Shot Chart Detail","0020000103","187","1853","Anthony Carter","1610612748","Miami Heat","2","2","58","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","47","171","1","1","20001114","MIA","CHH"
"Shot Chart Detail","0020000103","333","1853","Anthony Carter","1610612748","Miami Heat","3","0","3","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","17","1","0","20001114","MIA","CHH"
"Shot Chart Detail","0020000103","355","1853","Anthony Carter","1610612748","Miami Heat","4","9","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001114","MIA","CHH"
"Shot Chart Detail","0020000103","369","1853","Anthony Carter","1610612748","Miami Heat","4","8","26","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-79","13","1","0","20001114","MIA","CHH"
"Shot Chart Detail","0020000103","387","1853","Anthony Carter","1610612748","Miami Heat","4","7","11","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001114","MIA","CHH"
"Shot Chart Detail","0020000103","502","1853","Anthony Carter","1610612748","Miami Heat","5","3","58","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","47","-2","1","0","20001114","MIA","CHH"
"Shot Chart Detail","0020000103","511","1853","Anthony Carter","1610612748","Miami Heat","5","2","49","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001114","MIA","CHH"
"Shot Chart Detail","0020000112","125","1853","Anthony Carter","1610612748","Miami Heat","2","10","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","159","15","1","0","20001115","NJN","MIA"
"Shot Chart Detail","0020000112","138","1853","Anthony Carter","1610612748","Miami Heat","2","8","48","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","85","135","1","1","20001115","NJN","MIA"
"Shot Chart Detail","0020000112","158","1853","Anthony Carter","1610612748","Miami Heat","2","6","52","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","94","116","1","0","20001115","NJN","MIA"
