"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000009","74","1498","Antonio Daniels","1610612759","San Antonio Spurs","1","3","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","30","243","1","0","20001031","SAS","IND"
"Shot Chart Detail","0020000009","91","1498","Antonio Daniels","1610612759","San Antonio Spurs","1","1","54","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","-8","1","0","20001031","SAS","IND"
"Shot Chart Detail","0020000009","95","1498","Antonio Daniels","1610612759","San Antonio Spurs","1","1","41","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","47","83","1","0","20001031","SAS","IND"
"Shot Chart Detail","0020000009","117","1498","Antonio Daniels","1610612759","San Antonio Spurs","2","11","49","Made Shot","Finger Roll Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","66","2","1","1","20001031","SAS","IND"
"Shot Chart Detail","0020000009","136","1498","Antonio Daniels","1610612759","San Antonio Spurs","2","8","57","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-96","118","1","1","20001031","SAS","IND"
"Shot Chart Detail","0020000009","340","1498","Antonio Daniels","1610612759","San Antonio Spurs","3","0","33","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","150","2","1","1","20001031","SAS","IND"
"Shot Chart Detail","0020000009","364","1498","Antonio Daniels","1610612759","San Antonio Spurs","4","9","49","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","75","186","1","1","20001031","SAS","IND"
"Shot Chart Detail","0020000009","373","1498","Antonio Daniels","1610612759","San Antonio Spurs","4","8","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","102","118","1","1","20001031","SAS","IND"
"Shot Chart Detail","0020000009","419","1498","Antonio Daniels","1610612759","San Antonio Spurs","4","4","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","150","-2","1","0","20001031","SAS","IND"
"Shot Chart Detail","0020000009","422","1498","Antonio Daniels","1610612759","San Antonio Spurs","4","3","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","216","108","1","0","20001031","SAS","IND"
