"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021200678","229","203382","Aron Baynes","1610612759","San Antonio Spurs","2","0","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-82","6","1","0","20130130","SAS","CHA"
"Shot Chart Detail","0021200678","281","203382","Aron Baynes","1610612759","San Antonio Spurs","3","5","36","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","1","1","1","20130130","SAS","CHA"
"Shot Chart Detail","0021200678","299","203382","Aron Baynes","1610612759","San Antonio Spurs","3","3","53","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","4","1","0","20130130","SAS","CHA"
"Shot Chart Detail","0021200678","308","203382","Aron Baynes","1610612759","San Antonio Spurs","3","3","24","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","9","44","1","0","20130130","SAS","CHA"
"Shot Chart Detail","0021200678","336","203382","Aron Baynes","1610612759","San Antonio Spurs","3","1","33","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-7","14","1","1","20130130","SAS","CHA"
"Shot Chart Detail","0021200678","339","203382","Aron Baynes","1610612759","San Antonio Spurs","3","0","47","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-109","67","1","0","20130130","SAS","CHA"
"Shot Chart Detail","0021200678","466","203382","Aron Baynes","1610612759","San Antonio Spurs","4","0","57","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","15","1","1","20130130","SAS","CHA"
"Shot Chart Detail","0021200731","321","203382","Aron Baynes","1610612759","San Antonio Spurs","3","2","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","0","1","0","20130206","MIN","SAS"
"Shot Chart Detail","0021200810","479","203382","Aron Baynes","1610612759","San Antonio Spurs","4","4","12","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","0","1","1","20130221","LAC","SAS"
"Shot Chart Detail","0021200810","485","203382","Aron Baynes","1610612759","San Antonio Spurs","4","2","55","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","12","1","1","20130221","LAC","SAS"
