"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700006","33","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","9","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-18","26","1","0","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","47","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","8","28","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","11","1","1","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","77","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","5","54","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","73","55","1","1","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","182","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","11","43","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","187","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","10","42","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","8","1","1","1","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","193","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","9","52","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-33","59","1","0","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","195","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","9","46","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","209","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","9","21","Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","-64","113","1","0","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","318","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","1","52","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-9","19","1","1","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","348","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","11","17","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","11","79","80","1","0","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","501","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","1","40","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","3","25","1","1","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","541","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","11","9","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","-44","110","1","0","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","626","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","6","15","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","10","1","1","20171018","WAS","PHI"
"Shot Chart Detail","0021700006","630","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","5","34","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","22","1","0","20171018","WAS","PHI"
"Shot Chart Detail","0021700019","51","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","8","23","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","11","90","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","86","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","5","47","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-19","17","1","1","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","216","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","9","32","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","19","8","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","236","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","8","16","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-14","5","1","1","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","264","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","6","13","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","3","88","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","371","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","0","39","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","-9","1","1","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","408","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","10","20","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","16","15","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","451","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","7","8","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","61","72","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","595","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","11","46","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","3","1","1","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","723","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","0","25","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","38","42","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700019","725","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","0","19","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700027","34","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","9","16","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","14","5","1","1","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","41","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","8","36","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","14","72","121","1","1","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","176","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","0","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","29","6","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","183","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","0","2","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","15","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","199","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","11","10","Made Shot","Cutting Finger Roll Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-8","72","1","1","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","202","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","10","46","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","-5","1","1","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","219","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","9","4","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-49","55","1","1","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","373","1627732","Ben Simmons","1610612755","Philadelphia 76ers","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","49","-134","476","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","394","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","10","55","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","-30","115","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","410","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","9","30","Made Shot","Pullup Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","7","1","1","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","444","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","6","53","Missed Shot","Running Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","26","59","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","446","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","6","47","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","552","1627732","Ben Simmons","1610612755","Philadelphia 76ers","3","0","0","Missed Shot","Running Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","54","206","503","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","564","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","11","51","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","22","43","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","637","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","6","40","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","11","1","0","20171021","TOR","PHI"
"Shot Chart Detail","0021700027","641","1627732","Ben Simmons","1610612755","Philadelphia 76ers","4","6","16","Made Shot","Running Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","8","1","1","20171021","TOR","PHI"
"Shot Chart Detail","0021700041","7","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","11","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-92","58","1","0","20171023","DET","PHI"
"Shot Chart Detail","0021700041","42","1627732","Ben Simmons","1610612755","Philadelphia 76ers","1","8","20","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-24","13","1","0","20171023","DET","PHI"
