"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000237","475","202386","Ben Uzoh","1610612751","New Jersey Nets","4","0","29","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","17","26","1","1","20101127","PHI","NJN"
"Shot Chart Detail","0021000237","478","202386","Ben Uzoh","1610612751","New Jersey Nets","4","0","2","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","28","1","1","20101127","PHI","NJN"
"Shot Chart Detail","0021000257","524","202386","Ben Uzoh","1610612751","New Jersey Nets","4","0","13","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","42","55","1","0","20101130","NYK","NJN"
"Shot Chart Detail","0021000262","79","202386","Ben Uzoh","1610612751","New Jersey Nets","1","2","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","102","63","1","0","20101201","NJN","OKC"
"Shot Chart Detail","0021000262","83","202386","Ben Uzoh","1610612751","New Jersey Nets","1","2","45","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","64","11","1","0","20101201","NJN","OKC"
"Shot Chart Detail","0021000262","261","202386","Ben Uzoh","1610612751","New Jersey Nets","2","0","14","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-4","96","1","0","20101201","NJN","OKC"
"Shot Chart Detail","0021000275","58","202386","Ben Uzoh","1610612751","New Jersey Nets","1","4","3","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","6","1","0","20101203","CHA","NJN"
"Shot Chart Detail","0021000275","244","202386","Ben Uzoh","1610612751","New Jersey Nets","2","1","20","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","15","1","0","20101203","CHA","NJN"
"Shot Chart Detail","0021000275","404","202386","Ben Uzoh","1610612751","New Jersey Nets","3","0","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","89","93","1","0","20101203","CHA","NJN"
"Shot Chart Detail","0021000275","645","202386","Ben Uzoh","1610612751","New Jersey Nets","5","0","10","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","15","1","1","20101203","CHA","NJN"
"Shot Chart Detail","0021000309","561","202386","Ben Uzoh","1610612751","New Jersey Nets","4","0","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","0","195","1","0","20101207","ATL","NJN"
"Shot Chart Detail","0021000361","327","202386","Ben Uzoh","1610612751","New Jersey Nets","3","3","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","81","77","1","0","20101214","NJN","PHI"
"Shot Chart Detail","0021000361","336","202386","Ben Uzoh","1610612751","New Jersey Nets","3","2","30","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","0","1","1","20101214","NJN","PHI"
"Shot Chart Detail","0021000361","344","202386","Ben Uzoh","1610612751","New Jersey Nets","3","1","50","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","14","-73","131","1","0","20101214","NJN","PHI"
"Shot Chart Detail","0021000361","367","202386","Ben Uzoh","1610612751","New Jersey Nets","3","0","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","0","1","0","20101214","NJN","PHI"
"Shot Chart Detail","0021000361","369","202386","Ben Uzoh","1610612751","New Jersey Nets","3","0","7","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","3","1","0","20101214","NJN","PHI"
"Shot Chart Detail","0021000361","374","202386","Ben Uzoh","1610612751","New Jersey Nets","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","50","47","500","1","0","20101214","NJN","PHI"
"Shot Chart Detail","0021000361","384","202386","Ben Uzoh","1610612751","New Jersey Nets","4","11","11","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","1","1","1","20101214","NJN","PHI"
"Shot Chart Detail","0021000361","452","202386","Ben Uzoh","1610612751","New Jersey Nets","4","4","39","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-23","75","1","0","20101214","NJN","PHI"
"Shot Chart Detail","0021000361","455","202386","Ben Uzoh","1610612751","New Jersey Nets","4","4","3","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","39","41","1","0","20101214","NJN","PHI"
"Shot Chart Detail","0021000378","117","202386","Ben Uzoh","1610612751","New Jersey Nets","1","1","43","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-19","-2","1","1","20101216","NJN","WAS"
"Shot Chart Detail","0021000384","98","202386","Ben Uzoh","1610612751","New Jersey Nets","1","4","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","23","91","213","1","0","20101217","TOR","NJN"
"Shot Chart Detail","0021000384","119","202386","Ben Uzoh","1610612751","New Jersey Nets","1","2","45","Missed Shot","Jump Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","91","47","1","0","20101217","TOR","NJN"
"Shot Chart Detail","0021000384","243","202386","Ben Uzoh","1610612751","New Jersey Nets","2","1","53","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","12","1","1","20101217","TOR","NJN"
"Shot Chart Detail","0021000384","344","202386","Ben Uzoh","1610612751","New Jersey Nets","3","2","53","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","6","69","1","0","20101217","TOR","NJN"
"Shot Chart Detail","0021000446","470","202386","Ben Uzoh","1610612751","New Jersey Nets","4","2","52","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","73","17","1","1","20101227","NJN","ORL"
"Shot Chart Detail","0021000446","472","202386","Ben Uzoh","1610612751","New Jersey Nets","4","2","33","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","19","11","1","1","20101227","NJN","ORL"
"Shot Chart Detail","0021000446","485","202386","Ben Uzoh","1610612751","New Jersey Nets","4","1","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","23","110","206","1","0","20101227","NJN","ORL"
"Shot Chart Detail","0021000446","489","202386","Ben Uzoh","1610612751","New Jersey Nets","4","0","52","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","26","20","1","1","20101227","NJN","ORL"
"Shot Chart Detail","0021000446","498","202386","Ben Uzoh","1610612751","New Jersey Nets","4","0","15","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","12","17","1","0","20101227","NJN","ORL"
"Shot Chart Detail","0021000446","500","202386","Ben Uzoh","1610612751","New Jersey Nets","4","0","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","22","4","1","0","20101227","NJN","ORL"
"Shot Chart Detail","0021000446","502","202386","Ben Uzoh","1610612751","New Jersey Nets","4","0","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","11","8","1","0","20101227","NJN","ORL"
"Shot Chart Detail","0021000468","424","202386","Ben Uzoh","1610612751","New Jersey Nets","4","8","18","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-2","63","1","0","20101229","OKC","NJN"
