"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021200009","190","203108","Bernard James","1610612742","Dallas Mavericks","2","8","17","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","22","1","0","20121031","UTA","DAL"
"Shot Chart Detail","0021200009","402","203108","Bernard James","1610612742","Dallas Mavericks","3","2","40","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","45","36","1","0","20121031","UTA","DAL"
"Shot Chart Detail","0021200009","403","203108","Bernard James","1610612742","Dallas Mavericks","3","2","38","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","15","1","1","20121031","UTA","DAL"
"Shot Chart Detail","0021200009","526","203108","Bernard James","1610612742","Dallas Mavericks","4","6","13","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-38","15","1","0","20121031","UTA","DAL"
"Shot Chart Detail","0021200009","581","203108","Bernard James","1610612742","Dallas Mavericks","4","3","22","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-35","50","1","0","20121031","UTA","DAL"
"Shot Chart Detail","0021200061","86","203108","Bernard James","1610612742","Dallas Mavericks","1","3","50","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-3","1","1","20121107","DAL","TOR"
"Shot Chart Detail","0021200061","130","203108","Bernard James","1610612742","Dallas Mavericks","1","0","51","Made Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","12","44","1","1","20121107","DAL","TOR"
"Shot Chart Detail","0021200061","147","203108","Bernard James","1610612742","Dallas Mavericks","2","10","50","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","4","1","0","20121107","DAL","TOR"
"Shot Chart Detail","0021200061","165","203108","Bernard James","1610612742","Dallas Mavericks","2","9","33","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","6","1","0","20121107","DAL","TOR"
"Shot Chart Detail","0021200100","162","203108","Bernard James","1610612742","Dallas Mavericks","2","8","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","61","173","1","0","20121112","DAL","MIN"
