"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000016","37","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","8","38","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","4","26","1","1","20101027","LAC","POR"
"Shot Chart Detail","0021000016","44","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","7","42","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","11","1","1","20101027","LAC","POR"
"Shot Chart Detail","0021000016","47","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","7","4","Made Shot","Putback Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","9","22","1","1","20101027","LAC","POR"
"Shot Chart Detail","0021000016","57","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","6","38","Missed Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","9","1","0","20101027","LAC","POR"
"Shot Chart Detail","0021000016","60","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","6","26","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-5","48","1","0","20101027","LAC","POR"
"Shot Chart Detail","0021000016","61","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","6","25","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-4","20","1","1","20101027","LAC","POR"
"Shot Chart Detail","0021000016","144","201933","Blake Griffin","1610612746","Los Angeles Clippers","2","11","0","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","37","11","1","1","20101027","LAC","POR"
"Shot Chart Detail","0021000016","169","201933","Blake Griffin","1610612746","Los Angeles Clippers","2","8","54","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-150","39","1","1","20101027","LAC","POR"
"Shot Chart Detail","0021000016","208","201933","Blake Griffin","1610612746","Los Angeles Clippers","2","7","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","133","167","1","0","20101027","LAC","POR"
"Shot Chart Detail","0021000016","279","201933","Blake Griffin","1610612746","Los Angeles Clippers","3","11","42","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","-3","1","1","20101027","LAC","POR"
"Shot Chart Detail","0021000016","298","201933","Blake Griffin","1610612746","Los Angeles Clippers","3","9","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","40","26","1","0","20101027","LAC","POR"
"Shot Chart Detail","0021000016","388","201933","Blake Griffin","1610612746","Los Angeles Clippers","3","1","23","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","1","60","1","0","20101027","LAC","POR"
"Shot Chart Detail","0021000016","519","201933","Blake Griffin","1610612746","Los Angeles Clippers","4","2","16","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-7","15","1","0","20101027","LAC","POR"
"Shot Chart Detail","0021000016","544","201933","Blake Griffin","1610612746","Los Angeles Clippers","4","0","50","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-16","15","1","1","20101027","LAC","POR"
"Shot Chart Detail","0021000029","8","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","10","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-119","1","1","0","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","41","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","7","22","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-19","-6","1","1","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","48","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","5","47","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","1","1","0","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","64","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","5","19","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","-48","108","1","0","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","67","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","4","54","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-24","0","1","1","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","74","201933","Blake Griffin","1610612746","Los Angeles Clippers","1","4","22","Made Shot","Jump Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","100","25","1","1","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","297","201933","Blake Griffin","1610612746","Los Angeles Clippers","3","8","22","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","6","1","0","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","314","201933","Blake Griffin","1610612746","Los Angeles Clippers","3","6","48","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","-6","1","0","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","401","201933","Blake Griffin","1610612746","Los Angeles Clippers","4","11","20","Made Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-82","41","1","1","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","407","201933","Blake Griffin","1610612746","Los Angeles Clippers","4","10","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-149","19","1","0","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","434","201933","Blake Griffin","1610612746","Los Angeles Clippers","4","7","13","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","6","1","1","20101029","GSW","LAC"
"Shot Chart Detail","0021000029","438","201933","Blake Griffin","1610612746","Los Angeles Clippers","4","6","31","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","11","1","0","20101029","GSW","LAC"
