"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021800001","708","202954","Brad Wanamaker","1610612738","Boston Celtics","4","0","38","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","6","1","1","20181016","BOS","PHI"
"Shot Chart Detail","0021800074","625","202954","Brad Wanamaker","1610612738","Boston Celtics","4","3","42","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","73","204","1","1","20181027","DET","BOS"
"Shot Chart Detail","0021800074","628","202954","Brad Wanamaker","1610612738","Boston Celtics","4","3","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","144","119","1","0","20181027","DET","BOS"
"Shot Chart Detail","0021800074","662","202954","Brad Wanamaker","1610612738","Boston Celtics","4","0","49","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-173","187","1","0","20181027","DET","BOS"
"Shot Chart Detail","0021800204","507","202954","Brad Wanamaker","1610612738","Boston Celtics","4","6","40","Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","2","1","0","20181114","BOS","CHI"
"Shot Chart Detail","0021800204","536","202954","Brad Wanamaker","1610612738","Boston Celtics","4","5","9","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","122","225","1","1","20181114","BOS","CHI"
"Shot Chart Detail","0021800229","611","202954","Brad Wanamaker","1610612738","Boston Celtics","4","6","58","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","176","176","1","0","20181117","BOS","UTA"
"Shot Chart Detail","0021800229","639","202954","Brad Wanamaker","1610612738","Boston Celtics","4","4","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-45","197","1","0","20181117","BOS","UTA"
"Shot Chart Detail","0021800229","654","202954","Brad Wanamaker","1610612738","Boston Celtics","4","3","39","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","8","1","1","20181117","BOS","UTA"
"Shot Chart Detail","0021800229","696","202954","Brad Wanamaker","1610612738","Boston Celtics","4","0","45","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","141","95","1","0","20181117","BOS","UTA"
"Shot Chart Detail","0021800268","683","202954","Brad Wanamaker","1610612738","Boston Celtics","4","4","28","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","24","129","1","1","20181123","ATL","BOS"
"Shot Chart Detail","0021800319","548","202954","Brad Wanamaker","1610612738","Boston Celtics","4","6","54","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-26","72","1","0","20181130","BOS","CLE"
"Shot Chart Detail","0021800319","567","202954","Brad Wanamaker","1610612738","Boston Celtics","4","5","41","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-125","239","1","1","20181130","BOS","CLE"
"Shot Chart Detail","0021800319","619","202954","Brad Wanamaker","1610612738","Boston Celtics","4","0","43","Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-36","9","1","0","20181130","BOS","CLE"
"Shot Chart Detail","0021800365","643","202954","Brad Wanamaker","1610612738","Boston Celtics","4","1","24","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-113","247","1","1","20181206","BOS","NYK"
"Shot Chart Detail","0021800383","534","202954","Brad Wanamaker","1610612738","Boston Celtics","4","4","53","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-154","199","1","0","20181208","CHI","BOS"
"Shot Chart Detail","0021800383","563","202954","Brad Wanamaker","1610612738","Boston Celtics","4","2","45","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","5","1","1","20181208","CHI","BOS"
"Shot Chart Detail","0021800383","567","202954","Brad Wanamaker","1610612738","Boston Celtics","4","2","31","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","18","1","1","20181208","CHI","BOS"
"Shot Chart Detail","0021800393","192","202954","Brad Wanamaker","1610612738","Boston Celtics","2","9","27","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","5","1","1","20181210","BOS","NOP"
"Shot Chart Detail","0021800393","224","202954","Brad Wanamaker","1610612738","Boston Celtics","2","7","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-2","257","1","0","20181210","BOS","NOP"
