"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021200001","30","203078","Bradley Beal","1610612764","Washington Wizards","1","8","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-144","153","1","0","20121030","CLE","WAS"
"Shot Chart Detail","0021200001","43","203078","Bradley Beal","1610612764","Washington Wizards","1","7","34","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","242","28","1","1","20121030","CLE","WAS"
"Shot Chart Detail","0021200001","59","203078","Bradley Beal","1610612764","Washington Wizards","1","5","54","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","162","195","1","1","20121030","CLE","WAS"
"Shot Chart Detail","0021200001","71","203078","Bradley Beal","1610612764","Washington Wizards","1","5","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","166","140","1","0","20121030","CLE","WAS"
"Shot Chart Detail","0021200001","218","203078","Bradley Beal","1610612764","Washington Wizards","2","4","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-185","55","1","0","20121030","CLE","WAS"
"Shot Chart Detail","0021200001","259","203078","Bradley Beal","1610612764","Washington Wizards","2","0","37","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","-10","1","0","20121030","CLE","WAS"
"Shot Chart Detail","0021200001","500","203078","Bradley Beal","1610612764","Washington Wizards","4","2","51","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-224","105","1","0","20121030","CLE","WAS"
"Shot Chart Detail","0021200001","540","203078","Bradley Beal","1610612764","Washington Wizards","4","0","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-160","194","1","0","20121030","CLE","WAS"
"Shot Chart Detail","0021200027","35","203078","Bradley Beal","1610612764","Washington Wizards","1","7","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","203","1","1","0","20121103","WAS","BOS"
"Shot Chart Detail","0021200027","54","203078","Bradley Beal","1610612764","Washington Wizards","1","5","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-122","36","1","0","20121103","WAS","BOS"
"Shot Chart Detail","0021200027","206","203078","Bradley Beal","1610612764","Washington Wizards","2","2","7","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-212","146","1","0","20121103","WAS","BOS"
"Shot Chart Detail","0021200027","277","203078","Bradley Beal","1610612764","Washington Wizards","3","7","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","31","-38","1","0","20121103","WAS","BOS"
"Shot Chart Detail","0021200027","385","203078","Bradley Beal","1610612764","Washington Wizards","4","8","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","207","143","1","0","20121103","WAS","BOS"
"Shot Chart Detail","0021200054","32","203078","Bradley Beal","1610612764","Washington Wizards","1","8","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","13","198","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","39","203078","Bradley Beal","1610612764","Washington Wizards","1","8","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","51","200","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","47","203078","Bradley Beal","1610612764","Washington Wizards","1","7","25","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-239","25","1","1","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","50","203078","Bradley Beal","1610612764","Washington Wizards","1","6","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","166","192","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","83","203078","Bradley Beal","1610612764","Washington Wizards","1","3","10","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","211","138","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","193","203078","Bradley Beal","1610612764","Washington Wizards","2","4","28","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","113","3","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","200","203078","Bradley Beal","1610612764","Washington Wizards","2","3","18","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","0","1","1","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","258","203078","Bradley Beal","1610612764","Washington Wizards","3","10","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-177","178","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","288","203078","Bradley Beal","1610612764","Washington Wizards","3","7","19","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","12","1","1","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","303","203078","Bradley Beal","1610612764","Washington Wizards","3","5","31","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","230","77","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","437","203078","Bradley Beal","1610612764","Washington Wizards","4","5","53","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-100","145","1","1","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","476","203078","Bradley Beal","1610612764","Washington Wizards","4","1","54","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-8","261","1","1","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","553","203078","Bradley Beal","1610612764","Washington Wizards","5","1","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-68","213","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","568","203078","Bradley Beal","1610612764","Washington Wizards","5","0","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-142","208","1","0","20121107","BOS","WAS"
"Shot Chart Detail","0021200054","588","203078","Bradley Beal","1610612764","Washington Wizards","5","0","0","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","3","1","1","20121107","BOS","WAS"
"Shot Chart Detail","0021200068","7","203078","Bradley Beal","1610612764","Washington Wizards","1","11","23","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-183","86","1","1","20121109","WAS","MIL"
"Shot Chart Detail","0021200068","15","203078","Bradley Beal","1610612764","Washington Wizards","1","10","15","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-5","1","1","20121109","WAS","MIL"
"Shot Chart Detail","0021200068","28","203078","Bradley Beal","1610612764","Washington Wizards","1","8","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-185","86","1","0","20121109","WAS","MIL"
"Shot Chart Detail","0021200068","85","203078","Bradley Beal","1610612764","Washington Wizards","1","1","55","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-191","78","1","1","20121109","WAS","MIL"
"Shot Chart Detail","0021200068","236","203078","Bradley Beal","1610612764","Washington Wizards","2","0","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","31","268","1","0","20121109","WAS","MIL"
"Shot Chart Detail","0021200068","250","203078","Bradley Beal","1610612764","Washington Wizards","3","10","55","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-182","110","1","1","20121109","WAS","MIL"
"Shot Chart Detail","0021200068","270","203078","Bradley Beal","1610612764","Washington Wizards","3","9","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","187","-28","1","0","20121109","WAS","MIL"
