"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020500006","460","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","1","2","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","10","1","1","20051102","CLE","NOK"
"Shot Chart Detail","0020500025","468","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","1","23","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-189","45","1","1","20051101","NOK","SAC"
"Shot Chart Detail","0020500124","387","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","3","3","32","Made Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-69","68","1","1","20051118","NOK","ATL"
"Shot Chart Detail","0020500124","409","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","3","1","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","94","94","1","0","20051118","NOK","ATL"
"Shot Chart Detail","0020500124","440","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","10","58","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051118","NOK","ATL"
"Shot Chart Detail","0020500124","457","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","9","40","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-6","79","1","1","20051118","NOK","ATL"
"Shot Chart Detail","0020500133","120","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","2","9","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","11","186","1","0","20051119","ORL","NOK"
"Shot Chart Detail","0020500133","314","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","3","0","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-191","-19","1","0","20051119","ORL","NOK"
"Shot Chart Detail","0020500133","370","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","7","52","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051119","ORL","NOK"
"Shot Chart Detail","0020500133","387","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","6","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051119","ORL","NOK"
"Shot Chart Detail","0020500133","389","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","6","40","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051119","ORL","NOK"
"Shot Chart Detail","0020500146","456","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","2","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-103","138","1","0","20051121","PHI","NOK"
"Shot Chart Detail","0020500146","472","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","0","51","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051121","PHI","NOK"
"Shot Chart Detail","0020500163","409","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","8","55","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051123","NOK","MIN"
"Shot Chart Detail","0020500163","419","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","8","27","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","0","49","1","0","20051123","NOK","MIN"
"Shot Chart Detail","0020500181","20","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","1","9","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","12","1","0","20051126","SEA","NOK"
"Shot Chart Detail","0020500181","22","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","1","9","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051126","SEA","NOK"
"Shot Chart Detail","0020500181","37","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","1","7","54","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-59","-3","1","0","20051126","SEA","NOK"
"Shot Chart Detail","0020500181","69","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","1","4","7","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051126","SEA","NOK"
"Shot Chart Detail","0020500181","222","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","2","2","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-103","122","1","0","20051126","SEA","NOK"
"Shot Chart Detail","0020500197","142","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","2","10","31","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","18","1","1","20051128","GSW","NOK"
"Shot Chart Detail","0020500197","207","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","2","4","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","15","168","1","1","20051128","GSW","NOK"
"Shot Chart Detail","0020500213","147","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","2","8","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-143","-1","1","0","20051130","DEN","NOK"
"Shot Chart Detail","0020500213","165","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","2","5","55","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-3","94","1","0","20051130","DEN","NOK"
"Shot Chart Detail","0020500252","421","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","3","57","Made Shot","Follow Up Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051206","MEM","NOK"
"Shot Chart Detail","0020500252","434","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","1","59","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","20","38","1","1","20051206","MEM","NOK"
"Shot Chart Detail","0020500262","524","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","1","32","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051207","NOK","BOS"
"Shot Chart Detail","0020500518","247","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","2","0","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-6","197","1","0","20060113","NOK","SAC"
"Shot Chart Detail","0020500609","437","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","4","3","43","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-77","20","1","1","20060125","NOK","SAS"
"Shot Chart Detail","0020501064","124","101138","Brandon Bass","1610612740","New Orleans/Oklahoma City Hornets","2","10","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-103","87","1","0","20060329","GSW","NOK"
