"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600013","93","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","2","57","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","-11","1","1","20161026","LAL","HOU"
"Shot Chart Detail","0021600013","131","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","11","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","99","238","1","0","20161026","LAL","HOU"
"Shot Chart Detail","0021600013","149","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","9","47","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","111","121","1","1","20161026","LAL","HOU"
"Shot Chart Detail","0021600013","167","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","9","0","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","5","16","1","1","20161026","LAL","HOU"
"Shot Chart Detail","0021600013","403","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","4","11","13","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","111","183","1","1","20161026","LAL","HOU"
"Shot Chart Detail","0021600013","485","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","4","5","6","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","58","169","1","0","20161026","LAL","HOU"
"Shot Chart Detail","0021600024","55","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","4","23","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-11","169","1","1","20161028","UTA","LAL"
"Shot Chart Detail","0021600024","187","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","6","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","186","164","1","0","20161028","UTA","LAL"
"Shot Chart Detail","0021600040","116","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","0","39","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","187","154","1","0","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","127","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","11","39","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","84","56","1","0","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","131","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","11","13","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-130","26","1","1","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","134","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","10","34","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","143","41","1","0","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","320","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","5","55","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-9","61","1","0","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","326","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","5","5","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","23","1","0","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","362","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","2","39","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","18","1","1","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","361","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","2","39","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","4","51","1","0","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","389","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","0","5","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","0","156","1","1","20161030","OKC","LAL"
"Shot Chart Detail","0021600040","424","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","4","9","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-212","124","1","0","20161030","OKC","LAL"
"Shot Chart Detail","0021600048","78","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","4","20","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","227","-10","1","0","20161101","IND","LAL"
"Shot Chart Detail","0021600048","113","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","1","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","30","257","1","0","20161101","IND","LAL"
"Shot Chart Detail","0021600048","115","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","1","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-7","174","1","0","20161101","IND","LAL"
"Shot Chart Detail","0021600048","158","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","9","49","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","7","1","1","20161101","IND","LAL"
"Shot Chart Detail","0021600059","182","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","8","50","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-63","156","1","0","20161102","ATL","LAL"
"Shot Chart Detail","0021600059","463","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","4","10","31","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-30","244","1","1","20161102","ATL","LAL"
"Shot Chart Detail","0021600078","103","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","3","41","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","96","111","1","0","20161104","LAL","GSW"
"Shot Chart Detail","0021600078","109","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","3","4","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","228","42","1","0","20161104","LAL","GSW"
"Shot Chart Detail","0021600078","250","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","1","54","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","1","85","1","0","20161104","LAL","GSW"
"Shot Chart Detail","0021600078","401","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","1","51","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","23","212","111","1","0","20161104","LAL","GSW"
"Shot Chart Detail","0021600078","426","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","0","2","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-65","41","1","1","20161104","LAL","GSW"
"Shot Chart Detail","0021600078","436","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","4","11","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","86","233","1","0","20161104","LAL","GSW"
"Shot Chart Detail","0021600078","517","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","4","3","27","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20161104","LAL","GSW"
"Shot Chart Detail","0021600078","520","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","4","2","52","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","228","31","1","0","20161104","LAL","GSW"
"Shot Chart Detail","0021600092","116","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","2","22","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","42","1","1","20161106","LAL","PHX"
"Shot Chart Detail","0021600092","128","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","1","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-10","204","1","0","20161106","LAL","PHX"
"Shot Chart Detail","0021600092","190","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","9","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","86","109","1","0","20161106","LAL","PHX"
"Shot Chart Detail","0021600092","410","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","3","0","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","16","1","1","20161106","LAL","PHX"
"Shot Chart Detail","0021600092","418","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","2","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","18","1","0","20161106","LAL","PHX"
"Shot Chart Detail","0021600092","428","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","3","1","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-90","232","1","0","20161106","LAL","PHX"
"Shot Chart Detail","0021600092","448","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","4","11","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-39","183","1","0","20161106","LAL","PHX"
"Shot Chart Detail","0021600104","77","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","2","37","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","-5","1","1","20161108","LAL","DAL"
"Shot Chart Detail","0021600104","89","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","1","0","22","Missed Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","21","37","1","0","20161108","LAL","DAL"
"Shot Chart Detail","0021600104","106","1627742","Brandon Ingram","1610612747","Los Angeles Lakers","2","11","13","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","26","86","1","0","20161108","LAL","DAL"
