"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900020","9","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","10","41","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","121","224","1","1","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","23","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","8","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","53","153","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","51","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","4","52","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","169","201943","Brandon Jennings","1610612749","Milwaukee Bucks","2","6","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","190","-5","1","1","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","198","201943","Brandon Jennings","1610612749","Milwaukee Bucks","2","4","8","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-79","142","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","201","201943","Brandon Jennings","1610612749","Milwaukee Bucks","2","3","41","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","225","201943","Brandon Jennings","1610612749","Milwaukee Bucks","2","0","14","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-114","25","1","1","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","260","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","10","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","279","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","8","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","100","53","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","285","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","8","9","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","151","140","1","1","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","303","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","5","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","135","225","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","440","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","10","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","177","187","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","461","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","8","20","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","480","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","6","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-89","172","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","519","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","2","30","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-194","159","1","1","20091030","PHI","MIL"
"Shot Chart Detail","0020900020","522","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","1","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","162","189","1","0","20091030","PHI","MIL"
"Shot Chart Detail","0020900036","13","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","10","36","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-164","214","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","18","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","9","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-161","159","1","0","20091031","MIL","DET"
"Shot Chart Detail","0020900036","51","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","6","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-117","58","1","0","20091031","MIL","DET"
"Shot Chart Detail","0020900036","74","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","3","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-62","148","1","0","20091031","MIL","DET"
"Shot Chart Detail","0020900036","303","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","10","1","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-56","48","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","322","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","7","45","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-141","203","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","343","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","5","9","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-27","184","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","346","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","4","27","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","67","162","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","348","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","3","59","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","351","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","3","22","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","231","86","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","369","201943","Brandon Jennings","1610612749","Milwaukee Bucks","3","2","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-67","181","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","467","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","4","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","147","208","1","0","20091031","MIL","DET"
"Shot Chart Detail","0020900036","471","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","4","29","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-71","47","1","1","20091031","MIL","DET"
"Shot Chart Detail","0020900036","485","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","3","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-120","78","1","0","20091031","MIL","DET"
"Shot Chart Detail","0020900036","497","201943","Brandon Jennings","1610612749","Milwaukee Bucks","4","2","36","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","77","48","1","0","20091031","MIL","DET"
"Shot Chart Detail","0020900056","25","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","9","36","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-10","261","1","1","20091103","CHI","MIL"
"Shot Chart Detail","0020900056","33","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","8","54","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091103","CHI","MIL"
"Shot Chart Detail","0020900056","35","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","8","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","155","142","1","0","20091103","CHI","MIL"
"Shot Chart Detail","0020900056","58","201943","Brandon Jennings","1610612749","Milwaukee Bucks","1","5","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-105","200","1","0","20091103","CHI","MIL"
