"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800008","69","201575","Brandon Rush","1610612754","Indiana Pacers","1","3","4","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081029","DET","IND"
"Shot Chart Detail","0020800008","119","201575","Brandon Rush","1610612754","Indiana Pacers","2","11","2","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","DET","IND"
"Shot Chart Detail","0020800008","193","201575","Brandon Rush","1610612754","Indiana Pacers","2","4","45","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","DET","IND"
"Shot Chart Detail","0020800008","195","201575","Brandon Rush","1610612754","Indiana Pacers","2","4","14","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","DET","IND"
"Shot Chart Detail","0020800008","225","201575","Brandon Rush","1610612754","Indiana Pacers","2","1","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","136","224","1","0","20081029","DET","IND"
"Shot Chart Detail","0020800028","90","201575","Brandon Rush","1610612754","Indiana Pacers","1","2","39","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","11","1","0","20081101","IND","BOS"
"Shot Chart Detail","0020800028","93","201575","Brandon Rush","1610612754","Indiana Pacers","1","2","34","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081101","IND","BOS"
"Shot Chart Detail","0020800028","113","201575","Brandon Rush","1610612754","Indiana Pacers","1","0","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","147","129","1","0","20081101","IND","BOS"
"Shot Chart Detail","0020800028","129","201575","Brandon Rush","1610612754","Indiana Pacers","2","11","33","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","248","-10","1","0","20081101","IND","BOS"
"Shot Chart Detail","0020800028","234","201575","Brandon Rush","1610612754","Indiana Pacers","2","3","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","3","1","0","20081101","IND","BOS"
"Shot Chart Detail","0020800028","346","201575","Brandon Rush","1610612754","Indiana Pacers","3","6","7","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","204","145","1","0","20081101","IND","BOS"
"Shot Chart Detail","0020800028","375","201575","Brandon Rush","1610612754","Indiana Pacers","3","3","53","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-2","-10","1","0","20081101","IND","BOS"
"Shot Chart Detail","0020800028","415","201575","Brandon Rush","1610612754","Indiana Pacers","3","1","13","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-15","14","1","0","20081101","IND","BOS"
"Shot Chart Detail","0020800028","426","201575","Brandon Rush","1610612754","Indiana Pacers","3","0","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","-5","1","0","20081101","IND","BOS"
"Shot Chart Detail","0020800051","86","201575","Brandon Rush","1610612754","Indiana Pacers","1","2","39","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-19","20","1","1","20081105","IND","PHX"
"Shot Chart Detail","0020800051","126","201575","Brandon Rush","1610612754","Indiana Pacers","2","10","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","0","1","1","20081105","IND","PHX"
"Shot Chart Detail","0020800051","140","201575","Brandon Rush","1610612754","Indiana Pacers","2","9","7","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-239","-11","1","1","20081105","IND","PHX"
"Shot Chart Detail","0020800051","197","201575","Brandon Rush","1610612754","Indiana Pacers","2","2","56","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","14","1","1","20081105","IND","PHX"
"Shot Chart Detail","0020800051","229","201575","Brandon Rush","1610612754","Indiana Pacers","2","0","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","130","131","1","0","20081105","IND","PHX"
"Shot Chart Detail","0020800051","336","201575","Brandon Rush","1610612754","Indiana Pacers","3","4","17","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","4","1","0","20081105","IND","PHX"
"Shot Chart Detail","0020800051","338","201575","Brandon Rush","1610612754","Indiana Pacers","3","4","14","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","1","1","0","20081105","IND","PHX"
"Shot Chart Detail","0020800070","98","201575","Brandon Rush","1610612754","Indiana Pacers","1","1","46","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","-2","1","1","20081107","CLE","IND"
"Shot Chart Detail","0020800070","138","201575","Brandon Rush","1610612754","Indiana Pacers","2","10","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","40","198","1","0","20081107","CLE","IND"
"Shot Chart Detail","0020800070","207","201575","Brandon Rush","1610612754","Indiana Pacers","2","4","13","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","-10","1","0","20081107","CLE","IND"
"Shot Chart Detail","0020800070","233","201575","Brandon Rush","1610612754","Indiana Pacers","2","4","8","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-33","24","1","0","20081107","CLE","IND"
"Shot Chart Detail","0020800070","213","201575","Brandon Rush","1610612754","Indiana Pacers","2","3","37","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20081107","CLE","IND"
"Shot Chart Detail","0020800070","220","201575","Brandon Rush","1610612754","Indiana Pacers","2","3","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-131","173","1","0","20081107","CLE","IND"
"Shot Chart Detail","0020800070","225","201575","Brandon Rush","1610612754","Indiana Pacers","2","2","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","127","127","1","0","20081107","CLE","IND"
"Shot Chart Detail","0020800070","246","201575","Brandon Rush","1610612754","Indiana Pacers","2","1","54","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","-9","1","0","20081107","CLE","IND"
"Shot Chart Detail","0020800070","472","201575","Brandon Rush","1610612754","Indiana Pacers","4","6","42","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","218","121","1","1","20081107","CLE","IND"
