"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000291","382","2073","Brian Cardinal","1610612765","Detroit Pistons","3","2","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","176","-11","1","0","20001209","POR","DET"
"Shot Chart Detail","0020000291","501","2073","Brian Cardinal","1610612765","Detroit Pistons","4","2","34","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001209","POR","DET"
"Shot Chart Detail","0020000291","508","2073","Brian Cardinal","1610612765","Detroit Pistons","4","1","40","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001209","POR","DET"
"Shot Chart Detail","0020000297","441","2073","Brian Cardinal","1610612765","Detroit Pistons","4","2","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","123","95","1","0","20001210","LAL","DET"
"Shot Chart Detail","0020000297","468","2073","Brian Cardinal","1610612765","Detroit Pistons","4","0","11","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","121","146","1","1","20001210","LAL","DET"
"Shot Chart Detail","0020000315","459","2073","Brian Cardinal","1610612765","Detroit Pistons","4","3","51","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-246","34","1","0","20001213","DET","ATL"
"Shot Chart Detail","0020000348","124","2073","Brian Cardinal","1610612765","Detroit Pistons","2","11","18","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001217","DET","DAL"
"Shot Chart Detail","0020000357","235","2073","Brian Cardinal","1610612765","Detroit Pistons","2","0","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001219","PHX","DET"
"Shot Chart Detail","0020000357","384","2073","Brian Cardinal","1610612765","Detroit Pistons","4","11","9","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001219","PHX","DET"
"Shot Chart Detail","0020000357","416","2073","Brian Cardinal","1610612765","Detroit Pistons","4","8","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-162","4","1","0","20001219","PHX","DET"
"Shot Chart Detail","0020000803","114","2073","Brian Cardinal","1610612765","Detroit Pistons","1","0","36","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","-2","1","0","20010225","DET","CLE"
"Shot Chart Detail","0020000803","116","2073","Brian Cardinal","1610612765","Detroit Pistons","1","0","31","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20010225","DET","CLE"
