"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800006","95","201572","Brook Lopez","1610612751","New Jersey Nets","1","3","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-142","45","1","0","20081029","WAS","NJN"
"Shot Chart Detail","0020800006","104","201572","Brook Lopez","1610612751","New Jersey Nets","1","2","25","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","19","1","1","20081029","WAS","NJN"
"Shot Chart Detail","0020800006","170","201572","Brook Lopez","1610612751","New Jersey Nets","2","9","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-119","82","1","0","20081029","WAS","NJN"
"Shot Chart Detail","0020800006","173","201572","Brook Lopez","1610612751","New Jersey Nets","2","8","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","124","19","1","0","20081029","WAS","NJN"
"Shot Chart Detail","0020800006","379","201572","Brook Lopez","1610612751","New Jersey Nets","3","1","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","7","1","1","20081029","WAS","NJN"
"Shot Chart Detail","0020800006","384","201572","Brook Lopez","1610612751","New Jersey Nets","3","0","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","81","4","1","0","20081029","WAS","NJN"
"Shot Chart Detail","0020800006","406","201572","Brook Lopez","1610612751","New Jersey Nets","4","10","33","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","9","1","1","20081029","WAS","NJN"
"Shot Chart Detail","0020800006","507","201572","Brook Lopez","1610612751","New Jersey Nets","4","2","11","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","6","1","0","20081029","WAS","NJN"
"Shot Chart Detail","0020800031","165","201572","Brook Lopez","1610612751","New Jersey Nets","2","12","0","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081101","NJN","GSW"
"Shot Chart Detail","0020800031","167","201572","Brook Lopez","1610612751","New Jersey Nets","2","11","46","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081101","NJN","GSW"
"Shot Chart Detail","0020800031","212","201572","Brook Lopez","1610612751","New Jersey Nets","2","7","49","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","77","20","1","0","20081101","NJN","GSW"
"Shot Chart Detail","0020800031","360","201572","Brook Lopez","1610612751","New Jersey Nets","3","5","55","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-37","39","1","1","20081101","NJN","GSW"
"Shot Chart Detail","0020800031","362","201572","Brook Lopez","1610612751","New Jersey Nets","3","5","25","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-43","63","1","0","20081101","NJN","GSW"
"Shot Chart Detail","0020800031","421","201572","Brook Lopez","1610612751","New Jersey Nets","3","0","46","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","39","66","1","1","20081101","NJN","GSW"
"Shot Chart Detail","0020800031","496","201572","Brook Lopez","1610612751","New Jersey Nets","4","6","51","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081101","NJN","GSW"
