"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400010","502","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","1","34","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","0","48","1","0","20141029","NYK","CHI"
"Shot Chart Detail","0021400209","76","203946","Cameron Bairstow","1610612741","Chicago Bulls","1","3","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","168","66","1","0","20141125","DEN","CHI"
"Shot Chart Detail","0021400209","296","203946","Cameron Bairstow","1610612741","Chicago Bulls","3","10","11","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","4","1","0","20141125","DEN","CHI"
"Shot Chart Detail","0021400209","302","203946","Cameron Bairstow","1610612741","Chicago Bulls","3","9","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-193","6","1","1","20141125","DEN","CHI"
"Shot Chart Detail","0021400209","334","203946","Cameron Bairstow","1610612741","Chicago Bulls","3","5","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","29","162","1","0","20141125","DEN","CHI"
"Shot Chart Detail","0021400320","241","203946","Cameron Bairstow","1610612741","Chicago Bulls","2","5","36","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-16","23","1","0","20141210","CHI","BKN"
"Shot Chart Detail","0021400320","288","203946","Cameron Bairstow","1610612741","Chicago Bulls","2","1","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","6","1","0","20141210","CHI","BKN"
"Shot Chart Detail","0021400320","306","203946","Cameron Bairstow","1610612741","Chicago Bulls","2","0","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","170","-2","1","0","20141210","CHI","BKN"
"Shot Chart Detail","0021400528","500","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","2","22","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","182","39","1","1","20150107","CHI","UTA"
"Shot Chart Detail","0021400620","545","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","0","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-97","23","1","0","20150119","CLE","CHI"
"Shot Chart Detail","0021400637","487","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","1","42","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","14","1","0","20150122","CHI","SAS"
"Shot Chart Detail","0021400637","494","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","0","43","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-2","12","1","1","20150122","CHI","SAS"
"Shot Chart Detail","0021400758","439","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","1","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","83","145","1","0","20150207","NOP","CHI"
"Shot Chart Detail","0021400785","456","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","0","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","110","74","1","0","20150210","CHI","SAC"
"Shot Chart Detail","0021500053","455","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","2","29","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","227","7","1","0","20151103","CHA","CHI"
"Shot Chart Detail","0021500053","463","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","1","57","Made Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","0","62","1","1","20151103","CHA","CHI"
"Shot Chart Detail","0021500100","523","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","4","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","46","247","1","0","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","588","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","0","0","Missed Shot","Running Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","26","1","0","20151109","PHI","CHI"
"Shot Chart Detail","0021500361","522","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","1","36","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","0","41","1","0","20151214","CHI","PHI"
"Shot Chart Detail","0021500361","528","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","1","8","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","2","1","1","20151214","CHI","PHI"
"Shot Chart Detail","0021500400","469","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","3","30","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","2","1","0","20151219","NYK","CHI"
"Shot Chart Detail","0021500400","473","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","3","26","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-60","36","1","0","20151219","NYK","CHI"
"Shot Chart Detail","0021500400","508","203946","Cameron Bairstow","1610612741","Chicago Bulls","4","0","30","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","3","1","1","20151219","NYK","CHI"
