"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600323","142","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","10","26","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","7","1","0","20161207","BKN","DEN"
"Shot Chart Detail","0021600323","145","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","10","11","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","6","77","1","0","20161207","BKN","DEN"
"Shot Chart Detail","0021600323","191","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","7","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-210","144","1","0","20161207","BKN","DEN"
"Shot Chart Detail","0021600353","118","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","10","20","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-235","51","1","0","20161210","SAS","BKN"
"Shot Chart Detail","0021600353","140","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","8","7","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","11","1","1","20161210","SAS","BKN"
"Shot Chart Detail","0021600353","159","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","6","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","2","249","1","0","20161210","SAS","BKN"
"Shot Chart Detail","0021600353","174","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","4","39","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","82","-1","1","0","20161210","SAS","BKN"
"Shot Chart Detail","0021600353","475","1627747","Caris LeVert","1610612751","Brooklyn Nets","4","4","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-227","106","1","0","20161210","SAS","BKN"
"Shot Chart Detail","0021600364","153","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","10","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","186","169","1","0","20161212","HOU","BKN"
"Shot Chart Detail","0021600364","168","1627747","Caris LeVert","1610612751","Brooklyn Nets","2","9","5","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","18","1","0","20161212","HOU","BKN"
