"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020200009","3","2406","Caron Butler","1610612748","Miami Heat","1","11","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","-64","143","1","0","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","25","2406","Caron Butler","1610612748","Miami Heat","1","8","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","73","2406","Caron Butler","1610612748","Miami Heat","1","3","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-174","22","1","0","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","77","2406","Caron Butler","1610612748","Miami Heat","1","3","26","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","103","2406","Caron Butler","1610612748","Miami Heat","1","0","23","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","152","2406","Caron Butler","1610612748","Miami Heat","2","6","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-168","72","1","0","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","162","2406","Caron Butler","1610612748","Miami Heat","2","5","45","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","174","2406","Caron Butler","1610612748","Miami Heat","2","4","43","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","56","12","1","0","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","183","2406","Caron Butler","1610612748","Miami Heat","2","3","7","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","256","2406","Caron Butler","1610612748","Miami Heat","3","5","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-156","46","1","0","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","278","2406","Caron Butler","1610612748","Miami Heat","3","3","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-215","17","1","0","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","302","2406","Caron Butler","1610612748","Miami Heat","3","1","24","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","5","184","1","1","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","304","2406","Caron Butler","1610612748","Miami Heat","3","0","36","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","24","187","1","1","20021030","MIA","ORL"
"Shot Chart Detail","0020200009","306","2406","Caron Butler","1610612748","Miami Heat","3","0","18","Made Shot","Running Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","MIA","ORL"
"Shot Chart Detail","0020200036","38","2406","Caron Butler","1610612748","Miami Heat","1","6","41","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","89","2406","Caron Butler","1610612748","Miami Heat","1","2","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","85","140","1","0","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","95","2406","Caron Butler","1610612748","Miami Heat","1","0","57","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-21","31","1","1","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","138","2406","Caron Butler","1610612748","Miami Heat","2","8","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","169","2406","Caron Butler","1610612748","Miami Heat","2","4","54","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","208","2406","Caron Butler","1610612748","Miami Heat","2","1","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-159","33","1","0","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","294","2406","Caron Butler","1610612748","Miami Heat","3","4","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-146","25","1","0","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","402","2406","Caron Butler","1610612748","Miami Heat","4","8","14","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","445","2406","Caron Butler","1610612748","Miami Heat","4","3","16","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-84","38","1","1","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","462","2406","Caron Butler","1610612748","Miami Heat","4","0","30","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","225","23","1","0","20021102","NOH","MIA"
"Shot Chart Detail","0020200036","464","2406","Caron Butler","1610612748","Miami Heat","4","0","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021102","NOH","MIA"
