"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100034","109","202718","Chandler Parsons","1610612745","Houston Rockets","1","0","8","Made Shot","Driving Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-27","14","1","1","20111229","HOU","SAS"
"Shot Chart Detail","0021100034","160","202718","Chandler Parsons","1610612745","Houston Rockets","2","7","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-207","143","1","0","20111229","HOU","SAS"
"Shot Chart Detail","0021100034","168","202718","Chandler Parsons","1610612745","Houston Rockets","2","7","9","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","12","1","1","20111229","HOU","SAS"
"Shot Chart Detail","0021100034","189","202718","Chandler Parsons","1610612745","Houston Rockets","2","5","3","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-37","25","1","0","20111229","HOU","SAS"
"Shot Chart Detail","0021100034","377","202718","Chandler Parsons","1610612745","Houston Rockets","4","11","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-147","211","1","0","20111229","HOU","SAS"
"Shot Chart Detail","0021100043","253","202718","Chandler Parsons","1610612745","Houston Rockets","2","0","43","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-51","63","1","0","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","254","202718","Chandler Parsons","1610612745","Houston Rockets","2","0","41","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","14","1","0","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","416","202718","Chandler Parsons","1610612745","Houston Rockets","4","10","13","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","1","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","421","202718","Chandler Parsons","1610612745","Houston Rockets","4","9","18","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","25","241","85","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","426","202718","Chandler Parsons","1610612745","Houston Rockets","4","8","54","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","24","247","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","435","202718","Chandler Parsons","1610612745","Houston Rockets","4","8","2","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-11","25","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","465","202718","Chandler Parsons","1610612745","Houston Rockets","4","4","41","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-108","233","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","508","202718","Chandler Parsons","1610612745","Houston Rockets","4","1","54","Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","3","1","0","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","510","202718","Chandler Parsons","1610612745","Houston Rockets","4","1","45","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-141","12","1","0","20111230","MEM","HOU"
"Shot Chart Detail","0021100081","248","202718","Chandler Parsons","1610612745","Houston Rockets","2","1","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","29","-194","219","1","0","20120103","LAL","HOU"
"Shot Chart Detail","0021100081","252","202718","Chandler Parsons","1610612745","Houston Rockets","2","1","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-18","23","1","0","20120103","LAL","HOU"
"Shot Chart Detail","0021100093","133","202718","Chandler Parsons","1610612745","Houston Rockets","2","9","18","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-4","20","1","1","20120104","LAC","HOU"
"Shot Chart Detail","0021100093","138","202718","Chandler Parsons","1610612745","Houston Rockets","2","8","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-155","203","1","0","20120104","LAC","HOU"
"Shot Chart Detail","0021100093","160","202718","Chandler Parsons","1610612745","Houston Rockets","2","6","27","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","7","25","1","1","20120104","LAC","HOU"
"Shot Chart Detail","0021100093","297","202718","Chandler Parsons","1610612745","Houston Rockets","3","3","54","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","2","23","1","1","20120104","LAC","HOU"
"Shot Chart Detail","0021100093","352","202718","Chandler Parsons","1610612745","Houston Rockets","4","10","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","119","249","1","0","20120104","LAC","HOU"
"Shot Chart Detail","0021100093","385","202718","Chandler Parsons","1610612745","Houston Rockets","4","7","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","170","75","1","0","20120104","LAC","HOU"
"Shot Chart Detail","0021100093","388","202718","Chandler Parsons","1610612745","Houston Rockets","4","7","33","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-133","162","1","1","20120104","LAC","HOU"
"Shot Chart Detail","0021100093","426","202718","Chandler Parsons","1610612745","Houston Rockets","4","3","39","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-242","9","1","1","20120104","LAC","HOU"
"Shot Chart Detail","0021100105","153","202718","Chandler Parsons","1610612745","Houston Rockets","2","10","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","187","157","1","0","20120106","OKC","HOU"
"Shot Chart Detail","0021100105","172","202718","Chandler Parsons","1610612745","Houston Rockets","2","8","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","36","239","1","0","20120106","OKC","HOU"
"Shot Chart Detail","0021100105","383","202718","Chandler Parsons","1610612745","Houston Rockets","3","0","51","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","4","1","1","20120106","OKC","HOU"
"Shot Chart Detail","0021100105","439","202718","Chandler Parsons","1610612745","Houston Rockets","4","7","52","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","4","1","1","20120106","OKC","HOU"
"Shot Chart Detail","0021100105","456","202718","Chandler Parsons","1610612745","Houston Rockets","4","6","31","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","20","1","0","20120106","OKC","HOU"
"Shot Chart Detail","0021100105","462","202718","Chandler Parsons","1610612745","Houston Rockets","4","5","54","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","3","1","1","20120106","OKC","HOU"
"Shot Chart Detail","0021100115","247","202718","Chandler Parsons","1610612745","Houston Rockets","3","11","14","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","225","58","1","0","20120107","HOU","OKC"
"Shot Chart Detail","0021100115","279","202718","Chandler Parsons","1610612745","Houston Rockets","3","7","44","Missed Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","9","1","0","20120107","HOU","OKC"
"Shot Chart Detail","0021100115","298","202718","Chandler Parsons","1610612745","Houston Rockets","3","6","48","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","12","1","0","20120107","HOU","OKC"
"Shot Chart Detail","0021100115","435","202718","Chandler Parsons","1610612745","Houston Rockets","4","7","27","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","189","75","1","1","20120107","HOU","OKC"
"Shot Chart Detail","0021100115","461","202718","Chandler Parsons","1610612745","Houston Rockets","4","5","49","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","83","37","1","0","20120107","HOU","OKC"
"Shot Chart Detail","0021100115","520","202718","Chandler Parsons","1610612745","Houston Rockets","4","0","13","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","241","66","1","0","20120107","HOU","OKC"
"Shot Chart Detail","0021100134","9","202718","Chandler Parsons","1610612745","Houston Rockets","1","10","39","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","179","112","1","1","20120110","CHA","HOU"
"Shot Chart Detail","0021100134","21","202718","Chandler Parsons","1610612745","Houston Rockets","1","8","45","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","174","19","1","1","20120110","CHA","HOU"
"Shot Chart Detail","0021100134","25","202718","Chandler Parsons","1610612745","Houston Rockets","1","8","2","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","12","1","1","20120110","CHA","HOU"
"Shot Chart Detail","0021100134","75","202718","Chandler Parsons","1610612745","Houston Rockets","1","1","49","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-147","205","1","0","20120110","CHA","HOU"
"Shot Chart Detail","0021100134","93","202718","Chandler Parsons","1610612745","Houston Rockets","1","0","38","Missed Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-9","8","1","0","20120110","CHA","HOU"
