"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600032","471","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","4","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-148","70","1","0","20161029","SAS","NOP"
"Shot Chart Detail","0021600032","486","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","3","20","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","14","79","126","1","0","20161029","SAS","NOP"
"Shot Chart Detail","0021600355","140","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","11","28","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","197","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","6","53","Missed Shot","Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","141","3","1","0","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","203","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","6","21","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","138","136","1","1","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","205","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","5","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","123","72","1","0","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","241","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","3","0","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-52","11","1","1","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","244","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","2","34","Made Shot","Turnaround Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-106","41","1","1","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","254","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","1","31","Made Shot","Driving Bank shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-34","16","1","1","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","368","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","3","3","47","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","14","-61","134","1","1","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","412","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","9","54","Missed Shot","Turnaround Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-84","46","1","0","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","414","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","9","48","Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","11","-74","82","1","0","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","440","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","7","40","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","30","11","1","0","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","442","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","7","31","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","11","1","0","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","450","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","6","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-42","183","1","1","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","465","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","5","36","Missed Shot","Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","87","41","1","0","20161210","LAC","NOP"
"Shot Chart Detail","0021600355","521","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","4","0","14","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-160","85","1","1","20161210","LAC","NOP"
"Shot Chart Detail","0021600359","164","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","8","29","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","2","1","1","20161211","PHX","NOP"
"Shot Chart Detail","0021600359","170","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","7","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","66","18","1","0","20161211","PHX","NOP"
"Shot Chart Detail","0021600359","205","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","4","50","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","16","1","0","20161211","PHX","NOP"
"Shot Chart Detail","0021600395","233","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","2","3","27","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","117","38","1","0","20161216","HOU","NOP"
"Shot Chart Detail","0021600395","369","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","3","3","55","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","8","4","1","1","20161216","HOU","NOP"
"Shot Chart Detail","0021600395","394","1627767","Cheick Diallo","1610612740","New Orleans Pelicans","3","1","32","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","109","31","1","1","20161216","HOU","NOP"
