"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021200621","162","203187","Chris Johnson","1610612763","Memphis Grizzlies","2","8","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-207","165","1","0","20130123","MEM","LAL"
"Shot Chart Detail","0021200621","171","203187","Chris Johnson","1610612763","Memphis Grizzlies","2","7","23","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","1","1","1","20130123","MEM","LAL"
"Shot Chart Detail","0021200621","389","203187","Chris Johnson","1610612763","Memphis Grizzlies","4","11","20","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","-11","1","0","20130123","MEM","LAL"
"Shot Chart Detail","0021200621","391","203187","Chris Johnson","1610612763","Memphis Grizzlies","4","11","14","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","1","1","1","20130123","MEM","LAL"
"Shot Chart Detail","0021200637","158","203187","Chris Johnson","1610612763","Memphis Grizzlies","2","9","9","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-27","36","1","1","20130125","MEM","BKN"
"Shot Chart Detail","0021200637","169","203187","Chris Johnson","1610612763","Memphis Grizzlies","2","6","58","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-120","222","1","1","20130125","MEM","BKN"
"Shot Chart Detail","0021200637","192","203187","Chris Johnson","1610612763","Memphis Grizzlies","2","4","46","Made Shot","Putback Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","-6","1","1","20130125","MEM","BKN"
"Shot Chart Detail","0021200637","226","203187","Chris Johnson","1610612763","Memphis Grizzlies","2","0","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-152","213","1","0","20130125","MEM","BKN"
"Shot Chart Detail","0021200637","403","203187","Chris Johnson","1610612763","Memphis Grizzlies","4","6","7","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-157","205","1","1","20130125","MEM","BKN"
"Shot Chart Detail","0021200637","444","203187","Chris Johnson","1610612763","Memphis Grizzlies","4","1","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","7","258","1","0","20130125","MEM","BKN"
"Shot Chart Detail","0021200655","145","203187","Chris Johnson","1610612763","Memphis Grizzlies","2","9","20","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","-2","1","1","20130127","MEM","NOH"
"Shot Chart Detail","0021200655","150","203187","Chris Johnson","1610612763","Memphis Grizzlies","2","8","43","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-231","74","1","1","20130127","MEM","NOH"
