"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500778","122","1626191","Chris McCullough","1610612751","Brooklyn Nets","2","8","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-187","70","1","1","20160208","BKN","DEN"
"Shot Chart Detail","0021500778","141","1626191","Chris McCullough","1610612751","Brooklyn Nets","2","5","59","Missed Shot","Driving Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","19","51","1","0","20160208","BKN","DEN"
"Shot Chart Detail","0021500778","394","1626191","Chris McCullough","1610612751","Brooklyn Nets","4","5","48","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","-5","1","0","20160208","BKN","DEN"
"Shot Chart Detail","0021500793","130","1626191","Chris McCullough","1610612751","Brooklyn Nets","2","9","40","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","7","1","0","20160210","BKN","MEM"
"Shot Chart Detail","0021500793","355","1626191","Chris McCullough","1610612751","Brooklyn Nets","4","10","32","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","107","139","1","1","20160210","BKN","MEM"
"Shot Chart Detail","0021500793","357","1626191","Chris McCullough","1610612751","Brooklyn Nets","4","9","51","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-150","87","1","0","20160210","BKN","MEM"
"Shot Chart Detail","0021500793","364","1626191","Chris McCullough","1610612751","Brooklyn Nets","4","9","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","132","203","1","0","20160210","BKN","MEM"
"Shot Chart Detail","0021500793","387","1626191","Chris McCullough","1610612751","Brooklyn Nets","4","6","25","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","24","254","1","1","20160210","BKN","MEM"
"Shot Chart Detail","0021500807","133","1626191","Chris McCullough","1610612751","Brooklyn Nets","2","8","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","102","174","1","0","20160219","BKN","NYK"
"Shot Chart Detail","0021500807","140","1626191","Chris McCullough","1610612751","Brooklyn Nets","2","7","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-181","3","1","1","20160219","BKN","NYK"
"Shot Chart Detail","0021500807","151","1626191","Chris McCullough","1610612751","Brooklyn Nets","2","6","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","68","183","1","0","20160219","BKN","NYK"
