"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500005","102","1626174","Christian Wood","1610612755","Philadelphia 76ers","1","2","13","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","10","18","1","0","20151028","BOS","PHI"
"Shot Chart Detail","0021500005","560","1626174","Christian Wood","1610612755","Philadelphia 76ers","4","1","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","3","1","0","20151028","BOS","PHI"
"Shot Chart Detail","0021500023","548","1626174","Christian Wood","1610612755","Philadelphia 76ers","4","0","59","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-122","237","1","0","20151030","PHI","UTA"
"Shot Chart Detail","0021500046","501","1626174","Christian Wood","1610612755","Philadelphia 76ers","4","4","45","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","3","1","0","20151102","PHI","CLE"
"Shot Chart Detail","0021500046","518","1626174","Christian Wood","1610612755","Philadelphia 76ers","4","3","16","Made Shot","Turnaround Bank shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-32","11","1","1","20151102","PHI","CLE"
"Shot Chart Detail","0021500046","538","1626174","Christian Wood","1610612755","Philadelphia 76ers","4","0","57","Made Shot","Jump Bank Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-63","252","1","1","20151102","PHI","CLE"
"Shot Chart Detail","0021500100","97","1626174","Christian Wood","1610612755","Philadelphia 76ers","1","3","50","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","11","1","0","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","148","1626174","Christian Wood","1610612755","Philadelphia 76ers","1","0","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","35","82","342","1","0","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","216","1626174","Christian Wood","1610612755","Philadelphia 76ers","2","7","40","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-9","3","1","1","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","232","1626174","Christian Wood","1610612755","Philadelphia 76ers","2","5","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","3","1","1","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","238","1626174","Christian Wood","1610612755","Philadelphia 76ers","2","5","12","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-135","65","1","1","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","358","1626174","Christian Wood","1610612755","Philadelphia 76ers","3","6","2","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","25","23","1","0","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","366","1626174","Christian Wood","1610612755","Philadelphia 76ers","3","5","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","13","7","139","1","0","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","373","1626174","Christian Wood","1610612755","Philadelphia 76ers","3","4","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","9","23","1","0","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","539","1626174","Christian Wood","1610612755","Philadelphia 76ers","4","3","23","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151109","PHI","CHI"
"Shot Chart Detail","0021500100","555","1626174","Christian Wood","1610612755","Philadelphia 76ers","4","1","52","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-2","33","1","0","20151109","PHI","CHI"
"Shot Chart Detail","0021500115","99","1626174","Christian Wood","1610612755","Philadelphia 76ers","1","3","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","179","3","1","0","20151111","PHI","TOR"
"Shot Chart Detail","0021500115","109","1626174","Christian Wood","1610612755","Philadelphia 76ers","1","2","49","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151111","PHI","TOR"
