"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400268","507","203991","Clint Capela","1610612745","Houston Rockets","4","3","58","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","10","33","1","0","20141203","HOU","MEM"
"Shot Chart Detail","0021400268","509","203991","Clint Capela","1610612745","Houston Rockets","4","3","56","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","12","1","0","20141203","HOU","MEM"
"Shot Chart Detail","0021400268","510","203991","Clint Capela","1610612745","Houston Rockets","4","3","54","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","7","1","0","20141203","HOU","MEM"
"Shot Chart Detail","0021400268","536","203991","Clint Capela","1610612745","Houston Rockets","4","2","11","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-51","33","1","0","20141203","HOU","MEM"
"Shot Chart Detail","0021400268","540","203991","Clint Capela","1610612745","Houston Rockets","4","1","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","6","50","1","0","20141203","HOU","MEM"
"Shot Chart Detail","0021400268","551","203991","Clint Capela","1610612745","Houston Rockets","4","0","51","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-2","45","1","0","20141203","HOU","MEM"
"Shot Chart Detail","0021400324","483","203991","Clint Capela","1610612745","Houston Rockets","4","0","11","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","13","20","1","0","20141210","GSW","HOU"
"Shot Chart Detail","0021400667","109","203991","Clint Capela","1610612745","Houston Rockets","1","1","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","4","30","1","0","20150125","LAL","HOU"
"Shot Chart Detail","0021400667","118","203991","Clint Capela","1610612745","Houston Rockets","1","0","3","Missed Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20150125","LAL","HOU"
"Shot Chart Detail","0021400667","518","203991","Clint Capela","1610612745","Houston Rockets","4","0","25","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","28","36","1","0","20150125","LAL","HOU"
"Shot Chart Detail","0021401104","53","203991","Clint Capela","1610612745","Houston Rockets","1","6","36","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","-2","1","0","20150330","TOR","HOU"
"Shot Chart Detail","0021401104","56","203991","Clint Capela","1610612745","Houston Rockets","1","5","58","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150330","TOR","HOU"
"Shot Chart Detail","0021401104","114","203991","Clint Capela","1610612745","Houston Rockets","1","1","8","Made Shot","Running Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150330","TOR","HOU"
"Shot Chart Detail","0021401104","156","203991","Clint Capela","1610612745","Houston Rockets","2","10","27","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150330","TOR","HOU"
"Shot Chart Detail","0021401104","480","203991","Clint Capela","1610612745","Houston Rockets","4","7","30","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150330","TOR","HOU"
"Shot Chart Detail","0021401117","119","203991","Clint Capela","1610612745","Houston Rockets","1","0","58","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150401","HOU","SAC"
"Shot Chart Detail","0021401117","157","203991","Clint Capela","1610612745","Houston Rockets","2","9","56","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-11","20","1","0","20150401","HOU","SAC"
"Shot Chart Detail","0021401117","463","203991","Clint Capela","1610612745","Houston Rockets","4","8","16","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150401","HOU","SAC"
"Shot Chart Detail","0021401168","432","203991","Clint Capela","1610612745","Houston Rockets","4","4","32","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","2","47","1","0","20150408","SAS","HOU"
"Shot Chart Detail","0021401168","450","203991","Clint Capela","1610612745","Houston Rockets","4","2","59","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","-11","1","0","20150408","SAS","HOU"
"Shot Chart Detail","0021401168","451","203991","Clint Capela","1610612745","Houston Rockets","4","2","58","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","-2","1","1","20150408","SAS","HOU"
"Shot Chart Detail","0021401202","168","203991","Clint Capela","1610612745","Houston Rockets","2","9","23","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150413","CHA","HOU"
"Shot Chart Detail","0021401202","396","203991","Clint Capela","1610612745","Houston Rockets","3","0","54","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150413","CHA","HOU"
"Shot Chart Detail","0021401202","415","203991","Clint Capela","1610612745","Houston Rockets","4","11","12","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","6","1","1","20150413","CHA","HOU"
"Shot Chart Detail","0021401202","421","203991","Clint Capela","1610612745","Houston Rockets","4","10","36","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","22","1","1","20150413","CHA","HOU"
"Shot Chart Detail","0021401219","93","203991","Clint Capela","1610612745","Houston Rockets","1","4","2","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","26","9","1","1","20150415","HOU","UTA"
"Shot Chart Detail","0021401219","405","203991","Clint Capela","1610612745","Houston Rockets","3","2","36","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150415","HOU","UTA"
"Shot Chart Detail","0021401219","516","203991","Clint Capela","1610612745","Houston Rockets","4","3","53","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-29","58","1","0","20150415","HOU","UTA"
"Shot Chart Detail","0021401219","550","203991","Clint Capela","1610612745","Houston Rockets","4","1","53","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150415","HOU","UTA"
"Shot Chart Detail","0021500010","2","203991","Clint Capela","1610612745","Houston Rockets","1","11","38","Missed Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-22","31","1","0","20151028","HOU","DEN"
"Shot Chart Detail","0021500010","20","203991","Clint Capela","1610612745","Houston Rockets","1","9","42","Missed Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20151028","HOU","DEN"
"Shot Chart Detail","0021500010","208","203991","Clint Capela","1610612745","Houston Rockets","2","4","50","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151028","HOU","DEN"
"Shot Chart Detail","0021500010","271","203991","Clint Capela","1610612745","Houston Rockets","3","10","41","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","3","1","1","20151028","HOU","DEN"
"Shot Chart Detail","0021500010","368","203991","Clint Capela","1610612745","Houston Rockets","3","1","59","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","11","1","0","20151028","HOU","DEN"
"Shot Chart Detail","0021500010","396","203991","Clint Capela","1610612745","Houston Rockets","4","11","48","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151028","HOU","DEN"
"Shot Chart Detail","0021500010","429","203991","Clint Capela","1610612745","Houston Rockets","4","8","23","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151028","HOU","DEN"
"Shot Chart Detail","0021500030","152","203991","Clint Capela","1610612745","Houston Rockets","1","0","32","Made Shot","Tip Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151030","HOU","GSW"
"Shot Chart Detail","0021500030","226","203991","Clint Capela","1610612745","Houston Rockets","2","6","28","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151030","HOU","GSW"
"Shot Chart Detail","0021500030","299","203991","Clint Capela","1610612745","Houston Rockets","2","0","34","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20151030","HOU","GSW"
"Shot Chart Detail","0021500030","373","203991","Clint Capela","1610612745","Houston Rockets","3","5","43","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-30","2","1","1","20151030","HOU","GSW"
"Shot Chart Detail","0021500041","4","203991","Clint Capela","1610612745","Houston Rockets","1","11","27","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","14","8","1","1","20151101","MIA","HOU"
"Shot Chart Detail","0021500041","28","203991","Clint Capela","1610612745","Houston Rockets","1","9","13","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151101","MIA","HOU"
"Shot Chart Detail","0021500041","39","203991","Clint Capela","1610612745","Houston Rockets","1","7","54","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","13","1","1","20151101","MIA","HOU"
"Shot Chart Detail","0021500041","288","203991","Clint Capela","1610612745","Houston Rockets","3","11","33","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151101","MIA","HOU"
"Shot Chart Detail","0021500041","313","203991","Clint Capela","1610612745","Houston Rockets","3","7","57","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151101","MIA","HOU"
"Shot Chart Detail","0021500049","84","203991","Clint Capela","1610612745","Houston Rockets","1","3","58","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","14","2","1","1","20151102","HOU","OKC"
"Shot Chart Detail","0021500049","418","203991","Clint Capela","1610612745","Houston Rockets","3","2","42","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","16","1","1","20151102","HOU","OKC"
"Shot Chart Detail","0021500064","53","203991","Clint Capela","1610612745","Houston Rockets","1","5","52","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","11","1","1","20151104","HOU","ORL"
"Shot Chart Detail","0021500064","65","203991","Clint Capela","1610612745","Houston Rockets","1","4","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","7","1","0","20151104","HOU","ORL"
"Shot Chart Detail","0021500064","212","203991","Clint Capela","1610612745","Houston Rockets","2","5","35","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151104","HOU","ORL"
