"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500231","537","1626245","Cristiano Felicio","1610612741","Chicago Bulls","4","1","26","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","42","169","1","1","20151127","IND","CHI"
"Shot Chart Detail","0021500634","558","1626245","Cristiano Felicio","1610612741","Chicago Bulls","4","0","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","86","237","1","0","20160120","CHI","GSW"
"Shot Chart Detail","0021500803","554","1626245","Cristiano Felicio","1610612741","Chicago Bulls","4","0","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-119","224","1","0","20160218","CLE","CHI"
"Shot Chart Detail","0021500809","127","1626245","Cristiano Felicio","1610612741","Chicago Bulls","1","1","12","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-30","8","1","1","20160219","CHI","TOR"
"Shot Chart Detail","0021500809","294","1626245","Cristiano Felicio","1610612741","Chicago Bulls","2","0","49","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","3","1","1","20160219","CHI","TOR"
"Shot Chart Detail","0021500809","441","1626245","Cristiano Felicio","1610612741","Chicago Bulls","3","0","7","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-14","11","1","1","20160219","CHI","TOR"
"Shot Chart Detail","0021500850","179","1626245","Cristiano Felicio","1610612741","Chicago Bulls","2","9","24","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20160224","CHI","WAS"
"Shot Chart Detail","0021500865","130","1626245","Cristiano Felicio","1610612741","Chicago Bulls","2","10","58","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","0","198","1","0","20160226","ATL","CHI"
"Shot Chart Detail","0021500865","549","1626245","Cristiano Felicio","1610612741","Chicago Bulls","4","2","44","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","97","159","1","1","20160226","ATL","CHI"
"Shot Chart Detail","0021500892","115","1626245","Cristiano Felicio","1610612741","Chicago Bulls","2","11","6","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-2","26","1","0","20160301","MIA","CHI"
"Shot Chart Detail","0021500892","124","1626245","Cristiano Felicio","1610612741","Chicago Bulls","2","9","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-1","208","1","0","20160301","MIA","CHI"
"Shot Chart Detail","0021500892","505","1626245","Cristiano Felicio","1610612741","Chicago Bulls","4","1","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","9","1","0","20160301","MIA","CHI"
"Shot Chart Detail","0021500966","488","1626245","Cristiano Felicio","1610612741","Chicago Bulls","4","2","5","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","42","7","1","0","20160311","CHI","MIA"
"Shot Chart Detail","0021500991","122","1626245","Cristiano Felicio","1610612741","Chicago Bulls","2","11","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","13","76","111","1","0","20160314","TOR","CHI"
"Shot Chart Detail","0021501006","508","1626245","Cristiano Felicio","1610612741","Chicago Bulls","4","4","27","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","0","1","0","20160316","WAS","CHI"
"Shot Chart Detail","0021501006","516","1626245","Cristiano Felicio","1610612741","Chicago Bulls","4","3","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","-11","1","0","20160316","WAS","CHI"
