"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800016","84","201571","D.J. Augustin","1610612766","Charlotte Bobcats","1","3","10","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","4","1","1","20081030","CLE","CHA"
"Shot Chart Detail","0020800016","100","201571","D.J. Augustin","1610612766","Charlotte Bobcats","1","1","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","94","55","1","0","20081030","CLE","CHA"
"Shot Chart Detail","0020800016","144","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","8","25","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","14","-73","121","1","0","20081030","CLE","CHA"
"Shot Chart Detail","0020800016","166","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","6","35","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-229","53","1","0","20081030","CLE","CHA"
"Shot Chart Detail","0020800016","399","201571","D.J. Augustin","1610612766","Charlotte Bobcats","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","174","181","1","0","20081030","CLE","CHA"
"Shot Chart Detail","0020800016","405","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","11","25","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","135","83","1","1","20081030","CLE","CHA"
"Shot Chart Detail","0020800016","494","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","3","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","159","192","1","0","20081030","CLE","CHA"
"Shot Chart Detail","0020800016","547","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","0","25","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-177","77","1","1","20081030","CLE","CHA"
"Shot Chart Detail","0020800027","99","201571","D.J. Augustin","1610612766","Charlotte Bobcats","1","0","2","Made Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","10","-62","85","1","1","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","178","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","5","20","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","326","201571","D.J. Augustin","1610612766","Charlotte Bobcats","3","3","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-125","231","1","0","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","365","201571","D.J. Augustin","1610612766","Charlotte Bobcats","3","0","51","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","378","201571","D.J. Augustin","1610612766","Charlotte Bobcats","3","0","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","97","140","1","0","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","483","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","2","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","511","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","0","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-76","249","1","0","20081101","CHA","MIA"
"Shot Chart Detail","0020800042","137","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","10","53","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-4","203","1","1","20081103","CHA","DET"
"Shot Chart Detail","0020800042","326","201571","D.J. Augustin","1610612766","Charlotte Bobcats","3","1","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","155","194","1","0","20081103","CHA","DET"
"Shot Chart Detail","0020800042","360","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","10","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","198","165","1","0","20081103","CHA","DET"
"Shot Chart Detail","0020800042","376","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","8","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","151","132","1","0","20081103","CHA","DET"
"Shot Chart Detail","0020800042","440","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","2","39","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081103","CHA","DET"
"Shot Chart Detail","0020800054","104","201571","D.J. Augustin","1610612766","Charlotte Bobcats","1","0","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-93","102","1","0","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","111","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","11","29","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-112","224","1","1","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","138","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","8","55","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","143","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","8","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","214","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","2","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","221","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","1","19","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","89","175","1","1","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","342","201571","D.J. Augustin","1610612766","Charlotte Bobcats","3","1","13","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","26","50","1","0","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","371","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","10","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","102","201","1","0","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","397","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","8","5","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","408","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","7","34","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","144","214","1","1","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","443","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","4","39","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","45","45","1","0","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","446","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","4","15","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","14","1","0","20081105","NYK","CHA"
"Shot Chart Detail","0020800054","464","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","1","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","94","105","1","0","20081105","NYK","CHA"
"Shot Chart Detail","0020800066","83","201571","D.J. Augustin","1610612766","Charlotte Bobcats","1","2","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-149","208","1","0","20081107","CHA","NOH"
"Shot Chart Detail","0020800066","141","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","9","49","Missed Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","110","58","1","0","20081107","CHA","NOH"
"Shot Chart Detail","0020800066","172","201571","D.J. Augustin","1610612766","Charlotte Bobcats","2","6","45","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","73","173","1","0","20081107","CHA","NOH"
"Shot Chart Detail","0020800066","386","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","10","18","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081107","CHA","NOH"
"Shot Chart Detail","0020800066","404","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","8","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081107","CHA","NOH"
"Shot Chart Detail","0020800066","426","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","5","1","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","154","61","1","1","20081107","CHA","NOH"
"Shot Chart Detail","0020800066","439","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","2","52","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","133","233","1","1","20081107","CHA","NOH"
"Shot Chart Detail","0020800066","447","201571","D.J. Augustin","1610612766","Charlotte Bobcats","4","1","55","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081107","CHA","NOH"
