"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020200005","194","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","2","3","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021030","PHI","MIL"
"Shot Chart Detail","0020200037","430","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","4","3","34","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021102","MIL","ORL"
"Shot Chart Detail","0020200047","3","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","1","11","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021104","NYK","MIL"
"Shot Chart Detail","0020200047","53","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","1","6","13","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021104","NYK","MIL"
"Shot Chart Detail","0020200047","207","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","2","0","56","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021104","NYK","MIL"
"Shot Chart Detail","0020200047","232","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","3","10","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","98","17","1","0","20021104","NYK","MIL"
"Shot Chart Detail","0020200047","286","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","3","5","13","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021104","NYK","MIL"
"Shot Chart Detail","0020200067","11","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","1","10","50","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021106","MIL","NJN"
"Shot Chart Detail","0020200067","28","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","1","9","12","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","72","0","1","0","20021106","MIL","NJN"
"Shot Chart Detail","0020200067","38","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","1","8","6","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021106","MIL","NJN"
"Shot Chart Detail","0020200067","223","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","3","10","45","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021106","MIL","NJN"
"Shot Chart Detail","0020200067","234","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","3","9","16","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-29","35","1","0","20021106","MIL","NJN"
"Shot Chart Detail","0020200067","319","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","4","11","5","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021106","MIL","NJN"
"Shot Chart Detail","0020200067","389","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","4","3","14","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021106","MIL","NJN"
"Shot Chart Detail","0020200067","402","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","4","1","41","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021106","MIL","NJN"
"Shot Chart Detail","0020200070","15","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","1","9","56","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021107","MIN","MIL"
"Shot Chart Detail","0020200070","27","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","1","8","19","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","107","12","1","1","20021107","MIN","MIL"
"Shot Chart Detail","0020200070","258","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","3","11","14","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021107","MIN","MIL"
"Shot Chart Detail","0020200070","288","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","3","7","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","177","22","1","0","20021107","MIN","MIL"
"Shot Chart Detail","0020200087","3","2429","Dan Gadzuric","1610612749","Milwaukee Bucks","1","11","31","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021109","MIL","PHI"
