"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700007","191","1628464","Daniel Theis","1610612738","Boston Celtics","2","10","12","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","8","12","1","1","20171018","BOS","MIL"
"Shot Chart Detail","0021700007","210","1628464","Daniel Theis","1610612738","Boston Celtics","2","8","36","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-30","12","1","0","20171018","BOS","MIL"
"Shot Chart Detail","0021700007","310","1628464","Daniel Theis","1610612738","Boston Celtics","2","2","1","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20171018","BOS","MIL"
"Shot Chart Detail","0021700019","271","1628464","Daniel Theis","1610612738","Boston Celtics","2","5","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-167","194","1","0","20171020","PHI","BOS"
"Shot Chart Detail","0021700051","186","1628464","Daniel Theis","1610612738","Boston Celtics","2","10","9","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-2","32","1","0","20171024","BOS","NYK"
"Shot Chart Detail","0021700051","398","1628464","Daniel Theis","1610612738","Boston Celtics","3","4","40","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-228","38","1","1","20171024","BOS","NYK"
"Shot Chart Detail","0021700051","435","1628464","Daniel Theis","1610612738","Boston Celtics","3","2","20","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","6","1","1","20171024","BOS","NYK"
"Shot Chart Detail","0021700051","471","1628464","Daniel Theis","1610612738","Boston Celtics","4","11","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","77","167","1","0","20171024","BOS","NYK"
"Shot Chart Detail","0021700051","492","1628464","Daniel Theis","1610612738","Boston Celtics","4","8","51","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","12","17","1","1","20171024","BOS","NYK"
"Shot Chart Detail","0021700051","602","1628464","Daniel Theis","1610612738","Boston Celtics","4","3","15","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","13","1","1","20171024","BOS","NYK"
"Shot Chart Detail","0021700067","63","1628464","Daniel Theis","1610612738","Boston Celtics","1","7","1","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","6","1","0","20171026","MIL","BOS"
