"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021200094","541","203130","Darius Johnson-Odom","1610612747","Los Angeles Lakers","4","0","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","51","110","1","0","20121111","LAL","SAC"
"Shot Chart Detail","0021200130","546","203130","Darius Johnson-Odom","1610612747","Los Angeles Lakers","4","0","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","67","143","1","0","20121116","LAL","PHX"
"Shot Chart Detail","0021200130","554","203130","Darius Johnson-Odom","1610612747","Los Angeles Lakers","4","0","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","4","1","0","20121116","LAL","PHX"
"Shot Chart Detail","0021200187","582","203130","Darius Johnson-Odom","1610612747","Los Angeles Lakers","4","0","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-131","233","1","0","20121124","DAL","LAL"
"Shot Chart Detail","0021300985","392","203130","Darius Johnson-Odom","1610612755","Philadelphia 76ers","4","11","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-30","255","1","0","20140315","PHI","MEM"
"Shot Chart Detail","0021300985","395","203130","Darius Johnson-Odom","1610612755","Philadelphia 76ers","4","11","15","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","4","1","0","20140315","PHI","MEM"
"Shot Chart Detail","0021300985","417","203130","Darius Johnson-Odom","1610612755","Philadelphia 76ers","4","8","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-98","91","1","0","20140315","PHI","MEM"
"Shot Chart Detail","0021300985","488","203130","Darius Johnson-Odom","1610612755","Philadelphia 76ers","4","3","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-128","151","1","0","20140315","PHI","MEM"
"Shot Chart Detail","0021300985","549","203130","Darius Johnson-Odom","1610612755","Philadelphia 76ers","4","0","3","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","-51","101","1","0","20140315","PHI","MEM"
"Shot Chart Detail","0021301034","145","203130","Darius Johnson-Odom","1610612755","Philadelphia 76ers","1","0","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","42","249","1","0","20140322","CHI","PHI"
"Shot Chart Detail","0021301034","179","203130","Darius Johnson-Odom","1610612755","Philadelphia 76ers","2","10","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","37","151","1","0","20140322","CHI","PHI"
