"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020300014","320","2443","Darius Songaila","1610612758","Sacramento Kings","4","11","21","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031029","SAC","CLE"
"Shot Chart Detail","0020300014","335","2443","Darius Songaila","1610612758","Sacramento Kings","4","9","1","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031029","SAC","CLE"
"Shot Chart Detail","0020300026","117","2443","Darius Songaila","1610612758","Sacramento Kings","2","11","0","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031031","SAC","PHI"
"Shot Chart Detail","0020300026","135","2443","Darius Songaila","1610612758","Sacramento Kings","2","9","40","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-95","156","1","1","20031031","SAC","PHI"
"Shot Chart Detail","0020300026","138","2443","Darius Songaila","1610612758","Sacramento Kings","2","9","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-159","125","1","1","20031031","SAC","PHI"
"Shot Chart Detail","0020300026","146","2443","Darius Songaila","1610612758","Sacramento Kings","2","8","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","154","51","1","0","20031031","SAC","PHI"
"Shot Chart Detail","0020300026","340","2443","Darius Songaila","1610612758","Sacramento Kings","3","1","42","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031031","SAC","PHI"
"Shot Chart Detail","0020300026","413","2443","Darius Songaila","1610612758","Sacramento Kings","4","6","32","Made Shot","Finger Roll Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031031","SAC","PHI"
"Shot Chart Detail","0020300036","112","2443","Darius Songaila","1610612758","Sacramento Kings","1","2","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","182","-13","1","0","20031101","DEN","SAC"
"Shot Chart Detail","0020300036","115","2443","Darius Songaila","1610612758","Sacramento Kings","1","1","42","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","54","15","1","0","20031101","DEN","SAC"
"Shot Chart Detail","0020300036","134","2443","Darius Songaila","1610612758","Sacramento Kings","1","0","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-44","-1","1","0","20031101","DEN","SAC"
"Shot Chart Detail","0020300058","91","2443","Darius Songaila","1610612758","Sacramento Kings","1","1","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","135","61","1","0","20031105","MIN","SAC"
"Shot Chart Detail","0020300067","105","2443","Darius Songaila","1610612758","Sacramento Kings","2","11","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-145","95","1","0","20031107","NYK","SAC"
