"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800012","140","201589","Darrell Arthur","1610612763","Memphis Grizzlies","2","7","42","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","157","201589","Darrell Arthur","1610612763","Memphis Grizzlies","2","5","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-123","164","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","214","201589","Darrell Arthur","1610612763","Memphis Grizzlies","2","0","44","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","176","91","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","271","201589","Darrell Arthur","1610612763","Memphis Grizzlies","3","6","24","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","342","201589","Darrell Arthur","1610612763","Memphis Grizzlies","4","10","41","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","412","201589","Darrell Arthur","1610612763","Memphis Grizzlies","4","5","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","23","206","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","426","201589","Darrell Arthur","1610612763","Memphis Grizzlies","4","3","58","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","456","201589","Darrell Arthur","1610612763","Memphis Grizzlies","4","1","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","209","44","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","478","201589","Darrell Arthur","1610612763","Memphis Grizzlies","4","0","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","147","213","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800023","3","201589","Darrell Arthur","1610612763","Memphis Grizzlies","1","11","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-101","25","1","0","20081031","MEM","ORL"
"Shot Chart Detail","0020800023","251","201589","Darrell Arthur","1610612763","Memphis Grizzlies","2","1","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-112","138","1","0","20081031","MEM","ORL"
"Shot Chart Detail","0020800023","303","201589","Darrell Arthur","1610612763","Memphis Grizzlies","3","8","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","23","183","1","0","20081031","MEM","ORL"
"Shot Chart Detail","0020800023","353","201589","Darrell Arthur","1610612763","Memphis Grizzlies","3","4","23","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","34","14","1","0","20081031","MEM","ORL"
"Shot Chart Detail","0020800023","377","201589","Darrell Arthur","1610612763","Memphis Grizzlies","3","2","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-73","25","1","0","20081031","MEM","ORL"
"Shot Chart Detail","0020800023","400","201589","Darrell Arthur","1610612763","Memphis Grizzlies","4","11","38","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-106","41","1","0","20081031","MEM","ORL"
"Shot Chart Detail","0020800034","18","201589","Darrell Arthur","1610612763","Memphis Grizzlies","1","10","1","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-146","97","1","1","20081101","CHI","MEM"
