"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020300006","349","2561","David West","1610612740","New Orleans Hornets","3","2","8","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031029","NOH","ATL"
"Shot Chart Detail","0020300016","343","2561","David West","1610612740","New Orleans Hornets","3","3","1","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031030","ORL","NOH"
"Shot Chart Detail","0020300016","377","2561","David West","1610612740","New Orleans Hornets","3","0","22","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031030","ORL","NOH"
"Shot Chart Detail","0020300016","388","2561","David West","1610612740","New Orleans Hornets","4","11","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-145","5","1","0","20031030","ORL","NOH"
"Shot Chart Detail","0020300042","378","2561","David West","1610612740","New Orleans Hornets","4","9","16","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031103","ATL","NOH"
"Shot Chart Detail","0020300052","212","2561","David West","1610612740","New Orleans Hornets","2","1","34","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","15","81","1","0","20031105","PHI","NOH"
"Shot Chart Detail","0020300052","354","2561","David West","1610612740","New Orleans Hornets","4","9","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031105","PHI","NOH"
"Shot Chart Detail","0020300070","347","2561","David West","1610612740","New Orleans Hornets","3","0","26","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031107","NOH","LAL"
"Shot Chart Detail","0020300070","371","2561","David West","1610612740","New Orleans Hornets","4","9","27","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-5","63","1","0","20031107","NOH","LAL"
"Shot Chart Detail","0020300070","479","2561","David West","1610612740","New Orleans Hornets","4","0","44","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031107","NOH","LAL"
"Shot Chart Detail","0020300079","299","2561","David West","1610612740","New Orleans Hornets","3","2","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-87","23","1","0","20031108","NOH","CHI"
"Shot Chart Detail","0020300098","353","2561","David West","1610612740","New Orleans Hornets","4","10","28","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031111","DAL","NOH"
"Shot Chart Detail","0020300098","404","2561","David West","1610612740","New Orleans Hornets","4","4","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20031111","DAL","NOH"
"Shot Chart Detail","0020300098","405","2561","David West","1610612740","New Orleans Hornets","4","4","43","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031111","DAL","NOH"
