"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900013","111","201971","DeJuan Blair","1610612759","San Antonio Spurs","1","0","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-81","19","1","1","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","143","201971","DeJuan Blair","1610612759","San Antonio Spurs","2","8","32","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","4","1","1","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","153","201971","DeJuan Blair","1610612759","San Antonio Spurs","2","7","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","9","1","1","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","324","201971","DeJuan Blair","1610612759","San Antonio Spurs","3","4","0","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","-3","1","1","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","357","201971","DeJuan Blair","1610612759","San Antonio Spurs","3","1","6","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","397","201971","DeJuan Blair","1610612759","San Antonio Spurs","4","8","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","129","6","1","1","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","408","201971","DeJuan Blair","1610612759","San Antonio Spurs","4","6","22","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","111","4","1","0","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","415","201971","DeJuan Blair","1610612759","San Antonio Spurs","4","5","53","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","14","1","1","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","475","201971","DeJuan Blair","1610612759","San Antonio Spurs","4","0","41","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","-5","1","0","20091028","SAS","NOH"
"Shot Chart Detail","0020900013","477","201971","DeJuan Blair","1610612759","San Antonio Spurs","4","0","39","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-8","1","0","20091028","SAS","NOH"
