"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000009","19","202326","DeMarcus Cousins","1610612758","Sacramento Kings","1","9","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-149","189","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","195","202326","DeMarcus Cousins","1610612758","Sacramento Kings","2","6","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","140","69","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","221","202326","DeMarcus Cousins","1610612758","Sacramento Kings","2","5","35","Made Shot","Putback Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","0","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","228","202326","DeMarcus Cousins","1610612758","Sacramento Kings","2","5","5","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-43","22","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","328","202326","DeMarcus Cousins","1610612758","Sacramento Kings","3","9","46","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","129","64","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","338","202326","DeMarcus Cousins","1610612758","Sacramento Kings","3","8","50","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","595","202326","DeMarcus Cousins","1610612758","Sacramento Kings","4","3","56","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-48","50","1","1","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","597","202326","DeMarcus Cousins","1610612758","Sacramento Kings","4","3","27","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-8","53","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","619","202326","DeMarcus Cousins","1610612758","Sacramento Kings","4","1","41","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","34","26","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000009","624","202326","DeMarcus Cousins","1610612758","Sacramento Kings","4","1","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","125","138","1","0","20101027","MIN","SAC"
"Shot Chart Detail","0021000020","2","202326","DeMarcus Cousins","1610612758","Sacramento Kings","1","11","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-103","168","1","1","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","8","202326","DeMarcus Cousins","1610612758","Sacramento Kings","1","10","52","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","6","1","1","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","23","202326","DeMarcus Cousins","1610612758","Sacramento Kings","1","8","54","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","141","6","1","0","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","28","202326","DeMarcus Cousins","1610612758","Sacramento Kings","1","8","25","Missed Shot","Driving Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-32","20","1","0","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","103","202326","DeMarcus Cousins","1610612758","Sacramento Kings","1","2","12","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","15","48","1","0","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","238","202326","DeMarcus Cousins","1610612758","Sacramento Kings","2","4","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-81","162","1","0","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","525","202326","DeMarcus Cousins","1610612758","Sacramento Kings","4","5","10","Made Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","18","44","1","1","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","536","202326","DeMarcus Cousins","1610612758","Sacramento Kings","4","3","53","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-34","66","1","0","20101029","NJN","SAC"
