"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600032","469","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","5","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","13","1","0","20161029","SAS","NOP"
"Shot Chart Detail","0021600032","477","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","4","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-181","203","1","0","20161029","SAS","NOP"
"Shot Chart Detail","0021600077","502","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","2","28","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","40","41","1","0","20161104","UTA","SAS"
"Shot Chart Detail","0021600077","526","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","0","59","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","7","1","0","20161104","UTA","SAS"
"Shot Chart Detail","0021600086","438","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","7","13","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","8","1","1","20161105","SAS","LAC"
"Shot Chart Detail","0021600086","443","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","5","59","Missed Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-114","-11","1","0","20161105","SAS","LAC"
"Shot Chart Detail","0021600086","460","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","4","18","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-129","116","1","0","20161105","SAS","LAC"
"Shot Chart Detail","0021600086","500","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","0","33","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","164","198","1","1","20161105","SAS","LAC"
"Shot Chart Detail","0021600168","462","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","1","59","Missed Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","30","23","1","0","20161116","SAC","SAS"
"Shot Chart Detail","0021600168","468","1627749","Dejounte Murray","1610612759","San Antonio Spurs","4","1","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-107","164","1","0","20161116","SAC","SAS"
"Shot Chart Detail","0021600206","16","1627749","Dejounte Murray","1610612759","San Antonio Spurs","1","9","19","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","60","46","1","1","20161121","SAS","DAL"
"Shot Chart Detail","0021600206","228","1627749","Dejounte Murray","1610612759","San Antonio Spurs","3","11","27","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","-1","1","1","20161121","SAS","DAL"
"Shot Chart Detail","0021600206","241","1627749","Dejounte Murray","1610612759","San Antonio Spurs","3","9","52","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","-1","1","0","20161121","SAS","DAL"
