"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000005","100","202324","Derrick Favors","1610612751","New Jersey Nets","1","1","48","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","2","33","1","1","20101027","NJN","DET"
"Shot Chart Detail","0021000005","123","202324","Derrick Favors","1610612751","New Jersey Nets","2","11","47","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","26","7","1","1","20101027","NJN","DET"
"Shot Chart Detail","0021000005","140","202324","Derrick Favors","1610612751","New Jersey Nets","2","9","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","92","14","1","0","20101027","NJN","DET"
"Shot Chart Detail","0021000005","147","202324","Derrick Favors","1610612751","New Jersey Nets","2","9","34","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","1","1","1","20101027","NJN","DET"
"Shot Chart Detail","0021000005","336","202324","Derrick Favors","1610612751","New Jersey Nets","3","0","0","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","6","78","1","0","20101027","NJN","DET"
"Shot Chart Detail","0021000020","78","202324","Derrick Favors","1610612751","New Jersey Nets","1","3","53","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-150","12","1","1","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","129","202324","Derrick Favors","1610612751","New Jersey Nets","1","0","34","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","9","1","1","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","313","202324","Derrick Favors","1610612751","New Jersey Nets","2","0","18","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","14","1","0","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","422","202324","Derrick Favors","1610612751","New Jersey Nets","3","3","56","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","7","1","1","20101029","NJN","SAC"
"Shot Chart Detail","0021000020","488","202324","Derrick Favors","1610612751","New Jersey Nets","4","9","31","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","3","1","1","20101029","NJN","SAC"
"Shot Chart Detail","0021000040","111","202324","Derrick Favors","1610612751","New Jersey Nets","1","2","1","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","31","4","1","1","20101031","NJN","MIA"
"Shot Chart Detail","0021000040","123","202324","Derrick Favors","1610612751","New Jersey Nets","1","1","13","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","35","19","1","1","20101031","NJN","MIA"
"Shot Chart Detail","0021000040","140","202324","Derrick Favors","1610612751","New Jersey Nets","2","11","30","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","11","1","0","20101031","NJN","MIA"
"Shot Chart Detail","0021000040","150","202324","Derrick Favors","1610612751","New Jersey Nets","2","10","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","170","7","1","0","20101031","NJN","MIA"
"Shot Chart Detail","0021000040","211","202324","Derrick Favors","1610612751","New Jersey Nets","2","5","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-30","17","1","0","20101031","NJN","MIA"
"Shot Chart Detail","0021000040","220","202324","Derrick Favors","1610612751","New Jersey Nets","2","3","39","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","40","17","1","0","20101031","NJN","MIA"
"Shot Chart Detail","0021000040","240","202324","Derrick Favors","1610612751","New Jersey Nets","2","1","37","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","15","11","1","1","20101031","NJN","MIA"
"Shot Chart Detail","0021000040","347","202324","Derrick Favors","1610612751","New Jersey Nets","3","2","57","Missed Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","9","1","0","20101031","NJN","MIA"
"Shot Chart Detail","0021000040","360","202324","Derrick Favors","1610612751","New Jersey Nets","3","1","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","152","0","1","1","20101031","NJN","MIA"
"Shot Chart Detail","0021000055","59","202324","Derrick Favors","1610612751","New Jersey Nets","1","5","33","Missed Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-3","24","1","0","20101103","NJN","CHA"
"Shot Chart Detail","0021000055","61","202324","Derrick Favors","1610612751","New Jersey Nets","1","5","30","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-4","26","1","1","20101103","NJN","CHA"
"Shot Chart Detail","0021000055","87","202324","Derrick Favors","1610612751","New Jersey Nets","1","2","34","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-5","22","1","1","20101103","NJN","CHA"
"Shot Chart Detail","0021000055","165","202324","Derrick Favors","1610612751","New Jersey Nets","2","6","53","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","13","20","1","1","20101103","NJN","CHA"
"Shot Chart Detail","0021000055","184","202324","Derrick Favors","1610612751","New Jersey Nets","2","5","21","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-13","25","1","1","20101103","NJN","CHA"
"Shot Chart Detail","0021000055","309","202324","Derrick Favors","1610612751","New Jersey Nets","3","4","34","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","65","3","1","0","20101103","NJN","CHA"
"Shot Chart Detail","0021000055","429","202324","Derrick Favors","1610612751","New Jersey Nets","4","5","32","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","7","1","1","20101103","NJN","CHA"
"Shot Chart Detail","0021000069","158","202324","Derrick Favors","1610612751","New Jersey Nets","2","9","29","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-7","9","1","1","20101105","ORL","NJN"
"Shot Chart Detail","0021000069","164","202324","Derrick Favors","1610612751","New Jersey Nets","2","8","55","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","-2","1","1","20101105","ORL","NJN"
"Shot Chart Detail","0021000069","333","202324","Derrick Favors","1610612751","New Jersey Nets","3","5","14","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","0","1","0","20101105","ORL","NJN"
"Shot Chart Detail","0021000082","115","202324","Derrick Favors","1610612751","New Jersey Nets","1","1","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-108","129","1","0","20101106","MIA","NJN"
"Shot Chart Detail","0021000082","139","202324","Derrick Favors","1610612751","New Jersey Nets","2","11","43","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-18","15","1","1","20101106","MIA","NJN"
"Shot Chart Detail","0021000082","144","202324","Derrick Favors","1610612751","New Jersey Nets","2","11","5","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-18","34","1","0","20101106","MIA","NJN"
"Shot Chart Detail","0021000082","254","202324","Derrick Favors","1610612751","New Jersey Nets","2","1","19","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","7","1","1","20101106","MIA","NJN"
"Shot Chart Detail","0021000082","264","202324","Derrick Favors","1610612751","New Jersey Nets","2","0","1","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","70","4","1","1","20101106","MIA","NJN"
"Shot Chart Detail","0021000082","424","202324","Derrick Favors","1610612751","New Jersey Nets","4","10","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","17","14","1","0","20101106","MIA","NJN"
"Shot Chart Detail","0021000082","453","202324","Derrick Favors","1610612751","New Jersey Nets","4","7","22","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-26","17","1","1","20101106","MIA","NJN"
"Shot Chart Detail","0021000082","502","202324","Derrick Favors","1610612751","New Jersey Nets","4","2","36","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","11","1","1","20101106","MIA","NJN"
"Shot Chart Detail","0021000102","79","202324","Derrick Favors","1610612751","New Jersey Nets","1","2","27","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","4","64","1","0","20101109","NJN","CLE"
"Shot Chart Detail","0021000102","321","202324","Derrick Favors","1610612751","New Jersey Nets","3","4","22","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","14","1","1","20101109","NJN","CLE"
"Shot Chart Detail","0021000102","328","202324","Derrick Favors","1610612751","New Jersey Nets","3","3","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","9","184","1","0","20101109","NJN","CLE"
"Shot Chart Detail","0021000102","362","202324","Derrick Favors","1610612751","New Jersey Nets","3","0","30","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","3","1","1","20101109","NJN","CLE"
"Shot Chart Detail","0021000112","29","202324","Derrick Favors","1610612751","New Jersey Nets","1","8","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","129","110","1","0","20101110","CLE","NJN"
"Shot Chart Detail","0021000112","32","202324","Derrick Favors","1610612751","New Jersey Nets","1","8","31","Missed Shot","Jump Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-93","3","1","0","20101110","CLE","NJN"
"Shot Chart Detail","0021000112","190","202324","Derrick Favors","1610612751","New Jersey Nets","2","7","3","Missed Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-11","45","1","0","20101110","CLE","NJN"
"Shot Chart Detail","0021000112","338","202324","Derrick Favors","1610612751","New Jersey Nets","3","5","52","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20101110","CLE","NJN"
"Shot Chart Detail","0021000112","382","202324","Derrick Favors","1610612751","New Jersey Nets","3","2","43","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","3","1","1","20101110","CLE","NJN"
"Shot Chart Detail","0021000112","394","202324","Derrick Favors","1610612751","New Jersey Nets","3","1","21","Missed Shot","Jump Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","129","-2","1","0","20101110","CLE","NJN"
"Shot Chart Detail","0021000112","463","202324","Derrick Favors","1610612751","New Jersey Nets","4","7","47","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","28","53","1","1","20101110","CLE","NJN"
