"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700071","494","1628401","Derrick White","1610612759","San Antonio Spurs","4","11","48","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","-60","116","1","0","20171027","ORL","SAS"
"Shot Chart Detail","0021700071","530","1628401","Derrick White","1610612759","San Antonio Spurs","4","8","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","19","13","1","0","20171027","ORL","SAS"
"Shot Chart Detail","0021700337","452","1628401","Derrick White","1610612759","San Antonio Spurs","3","4","40","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","47","16","1","1","20171203","OKC","SAS"
"Shot Chart Detail","0021700337","463","1628401","Derrick White","1610612759","San Antonio Spurs","3","4","15","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","2","65","1","0","20171203","OKC","SAS"
"Shot Chart Detail","0021700337","648","1628401","Derrick White","1610612759","San Antonio Spurs","4","2","54","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-153","43","1","0","20171203","OKC","SAS"
"Shot Chart Detail","0021700383","170","1628401","Derrick White","1610612759","San Antonio Spurs","2","10","45","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","96","52","1","1","20171209","PHX","SAS"
"Shot Chart Detail","0021700383","220","1628401","Derrick White","1610612759","San Antonio Spurs","2","6","55","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","43","42","1","1","20171209","PHX","SAS"
"Shot Chart Detail","0021700555","222","1628401","Derrick White","1610612759","San Antonio Spurs","2","7","57","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-192","184","1","0","20180103","PHI","SAS"
"Shot Chart Detail","0021700555","240","1628401","Derrick White","1610612759","San Antonio Spurs","2","6","44","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20180103","PHI","SAS"
"Shot Chart Detail","0021700617","493","1628401","Derrick White","1610612759","San Antonio Spurs","4","9","20","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","113","233","1","1","20180111","LAL","SAS"
"Shot Chart Detail","0021700633","588","1628401","Derrick White","1610612759","San Antonio Spurs","4","2","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","137","219","1","0","20180113","SAS","DEN"
"Shot Chart Detail","0021700810","530","1628401","Derrick White","1610612759","San Antonio Spurs","4","8","56","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","61","34","1","0","20180207","PHX","SAS"
"Shot Chart Detail","0021700810","573","1628401","Derrick White","1610612759","San Antonio Spurs","4","6","35","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","-13","1","1","20180207","PHX","SAS"
"Shot Chart Detail","0021700810","621","1628401","Derrick White","1610612759","San Antonio Spurs","4","3","44","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","7","246","1","1","20180207","PHX","SAS"
"Shot Chart Detail","0021700810","638","1628401","Derrick White","1610612759","San Antonio Spurs","4","2","42","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","-9","129","1","0","20180207","PHX","SAS"
"Shot Chart Detail","0021700810","656","1628401","Derrick White","1610612759","San Antonio Spurs","4","0","38","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-128","216","1","1","20180207","PHX","SAS"
