"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600011","36","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","8","28","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-37","26","1","0","20161026","PHI","OKC"
"Shot Chart Detail","0021600011","256","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","0","57","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-69","236","1","1","20161026","PHI","OKC"
"Shot Chart Detail","0021600011","276","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","11","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","115","223","1","0","20161026","PHI","OKC"
"Shot Chart Detail","0021600011","296","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","9","6","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20161026","PHI","OKC"
"Shot Chart Detail","0021600011","299","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","8","38","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-246","-26","1","0","20161026","PHI","OKC"
"Shot Chart Detail","0021600021","16","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","10","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","-5","1","0","20161028","OKC","PHX"
"Shot Chart Detail","0021600021","41","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","7","10","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","14","200","1","1","20161028","OKC","PHX"
"Shot Chart Detail","0021600021","216","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","5","46","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-6","21","1","1","20161028","OKC","PHX"
"Shot Chart Detail","0021600021","236","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","4","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-142","56","1","1","20161028","OKC","PHX"
"Shot Chart Detail","0021600021","265","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","1","30","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-53","11","1","0","20161028","OKC","PHX"
"Shot Chart Detail","0021600021","278","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","0","44","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","-1","1","1","20161028","OKC","PHX"
"Shot Chart Detail","0021600040","258","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","10","50","Missed Shot","Turnaround Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-9","36","1","0","20161030","OKC","LAL"
"Shot Chart Detail","0021600064","10","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","10","7","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","27","45","267","1","1","20161102","LAC","OKC"
"Shot Chart Detail","0021600064","26","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","8","39","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","87","244","1","0","20161102","LAC","OKC"
"Shot Chart Detail","0021600064","520","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","4","17","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","27","-76","262","1","1","20161102","LAC","OKC"
"Shot Chart Detail","0021600069","19","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","9","39","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","1","26","1","1","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","51","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","6","16","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","12","106","1","0","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","83","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","4","8","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","120","232","1","1","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","252","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","3","9","Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-1","100","1","0","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","350","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","7","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","176","52","1","0","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","354","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","6","54","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-68","31","1","1","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","485","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","6","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","92","149","1","0","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","490","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","5","18","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-133","75","1","1","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","502","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","4","27","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","0","92","1","1","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","526","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","1","21","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","26","1","1","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","529","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","0","53","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","6","75","1","0","20161103","GSW","OKC"
"Shot Chart Detail","0021600069","531","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","0","49","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","14","16","1","0","20161103","GSW","OKC"
"Shot Chart Detail","0021600079","6","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","10","55","Made Shot","Turnaround Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","14","31","1","1","20161105","OKC","MIN"
"Shot Chart Detail","0021600079","11","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","9","46","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-225","11","1","0","20161105","OKC","MIN"
"Shot Chart Detail","0021600079","63","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","4","41","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","223","8","1","0","20161105","OKC","MIN"
"Shot Chart Detail","0021600079","65","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","4","35","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","2","1","1","20161105","OKC","MIN"
"Shot Chart Detail","0021600079","228","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","2","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","64","144","1","0","20161105","OKC","MIN"
"Shot Chart Detail","0021600079","294","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","9","54","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-102","228","1","0","20161105","OKC","MIN"
"Shot Chart Detail","0021600079","300","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","9","25","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-43","26","1","0","20161105","OKC","MIN"
"Shot Chart Detail","0021600079","501","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","4","45","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-17","-1","1","0","20161105","OKC","MIN"
"Shot Chart Detail","0021600079","505","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","4","4","16","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","-1","1","1","20161105","OKC","MIN"
"Shot Chart Detail","0021600097","5","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","10","52","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","28","41","1","1","20161107","OKC","MIA"
"Shot Chart Detail","0021600097","33","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","7","36","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","-1","1","0","20161107","OKC","MIA"
"Shot Chart Detail","0021600097","43","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","6","16","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-223","16","1","1","20161107","OKC","MIA"
"Shot Chart Detail","0021600097","45","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","1","5","39","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","94","165","1","0","20161107","OKC","MIA"
"Shot Chart Detail","0021600097","166","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","8","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-124","41","1","0","20161107","OKC","MIA"
"Shot Chart Detail","0021600097","207","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","5","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","94","183","1","0","20161107","OKC","MIA"
"Shot Chart Detail","0021600097","226","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","4","2","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","223","11","1","1","20161107","OKC","MIA"
"Shot Chart Detail","0021600097","249","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","2","1","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-52","239","1","0","20161107","OKC","MIA"
"Shot Chart Detail","0021600097","295","1627734","Domantas Sabonis","1610612760","Oklahoma City Thunder","3","8","19","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-222","7","1","1","20161107","OKC","MIA"
