"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700010","31","1628378","Donovan Mitchell","1610612762","Utah Jazz","1","9","5","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-36","74","1","0","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","43","1628378","Donovan Mitchell","1610612762","Utah Jazz","1","7","36","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","16","10","1","0","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","53","1628378","Donovan Mitchell","1610612762","Utah Jazz","1","6","39","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-35","90","1","1","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","127","1628378","Donovan Mitchell","1610612762","Utah Jazz","1","0","59","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-229","107","1","0","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","254","1628378","Donovan Mitchell","1610612762","Utah Jazz","2","3","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","36","259","1","0","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","270","1628378","Donovan Mitchell","1610612762","Utah Jazz","2","1","56","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","16","21","1","1","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","283","1628378","Donovan Mitchell","1610612762","Utah Jazz","2","0","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-17","17","1","0","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","287","1628378","Donovan Mitchell","1610612762","Utah Jazz","2","0","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-79","206","1","0","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","429","1628378","Donovan Mitchell","1610612762","Utah Jazz","3","0","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-16","15","1","0","20171018","UTA","DEN"
"Shot Chart Detail","0021700010","441","1628378","Donovan Mitchell","1610612762","Utah Jazz","3","0","3","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","19","1","0","20171018","UTA","DEN"
