"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700003","30","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","10","2","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","236","71","1","1","20171018","DET","CHA"
"Shot Chart Detail","0021700003","67","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","6","52","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","3","34","1","0","20171018","DET","CHA"
"Shot Chart Detail","0021700003","192","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","2","8","43","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","38","1","0","20171018","DET","CHA"
"Shot Chart Detail","0021700003","200","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","2","7","48","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","11","1","1","20171018","DET","CHA"
"Shot Chart Detail","0021700003","235","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","2","6","9","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","51","1","0","20171018","DET","CHA"
"Shot Chart Detail","0021700003","331","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","3","9","45","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-87","257","1","1","20171018","DET","CHA"
"Shot Chart Detail","0021700017","38","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","8","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","105","237","1","0","20171020","CHA","ATL"
"Shot Chart Detail","0021700017","96","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","4","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-2","19","1","0","20171020","CHA","ATL"
"Shot Chart Detail","0021700017","366","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","3","10","40","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","54","1","1","20171020","CHA","ATL"
"Shot Chart Detail","0021700017","477","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","3","3","52","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","226","10","1","1","20171020","CHA","ATL"
"Shot Chart Detail","0021700044","85","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","5","48","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","3","24","1","0","20171023","MIL","CHA"
"Shot Chart Detail","0021700044","113","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","3","59","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","226","41","1","0","20171023","MIL","CHA"
"Shot Chart Detail","0021700044","129","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","2","32","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","150","79","1","1","20171023","MIL","CHA"
"Shot Chart Detail","0021700044","132","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","2","1","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","3","158","1","1","20171023","MIL","CHA"
"Shot Chart Detail","0021700044","395","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","3","5","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","174","196","1","0","20171023","MIL","CHA"
"Shot Chart Detail","0021700044","430","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","3","2","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-228","97","1","0","20171023","MIL","CHA"
"Shot Chart Detail","0021700055","60","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","6","18","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","-24","157","1","0","20171025","CHA","DEN"
"Shot Chart Detail","0021700055","173","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","2","9","35","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","131","73","1","1","20171025","CHA","DEN"
"Shot Chart Detail","0021700055","288","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","2","1","10","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","225","17","1","1","20171025","CHA","DEN"
"Shot Chart Detail","0021700055","632","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","4","1","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-101","136","1","0","20171025","CHA","DEN"
"Shot Chart Detail","0021700070","102","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","5","11","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","25","-242","78","1","0","20171027","CHA","HOU"
"Shot Chart Detail","0021700070","155","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","1","17","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","30","206","1","0","20171027","CHA","HOU"
"Shot Chart Detail","0021700070","188","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","2","11","6","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-231","81","1","0","20171027","CHA","HOU"
"Shot Chart Detail","0021700070","241","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","2","6","11","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","7","1","0","20171027","CHA","HOU"
"Shot Chart Detail","0021700070","398","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","3","6","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","14","169","1","0","20171027","CHA","HOU"
"Shot Chart Detail","0021700070","496","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","4","10","40","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","19","1","0","20171027","CHA","HOU"
"Shot Chart Detail","0021700088","104","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","3","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-230","96","1","0","20171029","CHA","ORL"
"Shot Chart Detail","0021700088","139","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","1","1","22","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","96","131","1","1","20171029","CHA","ORL"
"Shot Chart Detail","0021700088","170","1628407","Dwayne Bacon","1610612766","Charlotte Hornets","2","11","35","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","68","178","1","0","20171029","CHA","ORL"
