"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020100011","141","2248","Earl Watson","1610612760","Seattle SuperSonics","2","8","55","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-12","85","1","0","20011030","SAC","SEA"
"Shot Chart Detail","0020100011","379","2248","Earl Watson","1610612760","Seattle SuperSonics","3","0","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","191","55","1","0","20011030","SAC","SEA"
"Shot Chart Detail","0020100011","399","2248","Earl Watson","1610612760","Seattle SuperSonics","4","9","54","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","16","0","1","1","20011030","SAC","SEA"
"Shot Chart Detail","0020100024","154","2248","Earl Watson","1610612760","Seattle SuperSonics","2","8","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-27","179","1","0","20011101","SEA","SAS"
"Shot Chart Detail","0020100052","386","2248","Earl Watson","1610612760","Seattle SuperSonics","4","9","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","10","-71","78","1","0","20011105","ORL","SEA"
"Shot Chart Detail","0020100052","389","2248","Earl Watson","1610612760","Seattle SuperSonics","4","9","6","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011105","ORL","SEA"
"Shot Chart Detail","0020100056","70","2248","Earl Watson","1610612760","Seattle SuperSonics","1","3","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-183","4","1","0","20011106","MIA","SEA"
"Shot Chart Detail","0020100056","94","2248","Earl Watson","1610612760","Seattle SuperSonics","1","1","33","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","47","171","1","1","20011106","MIA","SEA"
"Shot Chart Detail","0020100056","107","2248","Earl Watson","1610612760","Seattle SuperSonics","1","0","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","14","-67","125","1","0","20011106","MIA","SEA"
"Shot Chart Detail","0020100056","308","2248","Earl Watson","1610612760","Seattle SuperSonics","3","4","5","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","39","66","1","0","20011106","MIA","SEA"
