"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000263","75","202334","Ed Davis","1610612761","Toronto Raptors","1","4","52","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","17","1","1","20101201","TOR","WAS"
"Shot Chart Detail","0021000263","85","202334","Ed Davis","1610612761","Toronto Raptors","1","4","18","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","2","25","1","1","20101201","TOR","WAS"
"Shot Chart Detail","0021000263","236","202334","Ed Davis","1610612761","Toronto Raptors","2","3","42","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","14","1","1","20101201","TOR","WAS"
"Shot Chart Detail","0021000263","281","202334","Ed Davis","1610612761","Toronto Raptors","2","0","42","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-111","71","1","0","20101201","TOR","WAS"
"Shot Chart Detail","0021000263","401","202334","Ed Davis","1610612761","Toronto Raptors","3","3","16","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","3","1","1","20101201","TOR","WAS"
"Shot Chart Detail","0021000263","573","202334","Ed Davis","1610612761","Toronto Raptors","4","2","32","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-16","14","1","0","20101201","TOR","WAS"
"Shot Chart Detail","0021000263","590","202334","Ed Davis","1610612761","Toronto Raptors","4","0","31","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","17","1","1","20101201","TOR","WAS"
"Shot Chart Detail","0021000276","61","202334","Ed Davis","1610612761","Toronto Raptors","1","4","33","Made Shot","Jump Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-30","15","1","1","20101203","TOR","OKC"
"Shot Chart Detail","0021000276","75","202334","Ed Davis","1610612761","Toronto Raptors","1","2","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","23","160","1","0","20101203","TOR","OKC"
"Shot Chart Detail","0021000276","219","202334","Ed Davis","1610612761","Toronto Raptors","2","2","11","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","11","-75","83","1","0","20101203","TOR","OKC"
"Shot Chart Detail","0021000276","226","202334","Ed Davis","1610612761","Toronto Raptors","2","1","29","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","12","1","1","20101203","TOR","OKC"
"Shot Chart Detail","0021000276","331","202334","Ed Davis","1610612761","Toronto Raptors","3","3","50","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","11","1","1","20101203","TOR","OKC"
