"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000007","14","2059","Eduardo Najera","1610612742","Dallas Mavericks","1","10","48","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-39","23","1","1","20001031","DAL","MIL"
"Shot Chart Detail","0020000007","81","2059","Eduardo Najera","1610612742","Dallas Mavericks","1","3","47","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","22","7","1","0","20001031","DAL","MIL"
"Shot Chart Detail","0020000007","193","2059","Eduardo Najera","1610612742","Dallas Mavericks","2","5","6","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","DAL","MIL"
"Shot Chart Detail","0020000007","208","2059","Eduardo Najera","1610612742","Dallas Mavericks","2","3","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","123","28","1","0","20001031","DAL","MIL"
"Shot Chart Detail","0020000007","268","2059","Eduardo Najera","1610612742","Dallas Mavericks","3","11","27","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","DAL","MIL"
"Shot Chart Detail","0020000007","309","2059","Eduardo Najera","1610612742","Dallas Mavericks","3","7","39","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","DAL","MIL"
"Shot Chart Detail","0020000007","496","2059","Eduardo Najera","1610612742","Dallas Mavericks","4","2","41","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001031","DAL","MIL"
"Shot Chart Detail","0020000022","41","2059","Eduardo Najera","1610612742","Dallas Mavericks","1","7","4","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","18","70","1","0","20001102","DAL","IND"
"Shot Chart Detail","0020000022","244","2059","Eduardo Najera","1610612742","Dallas Mavericks","3","11","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001102","DAL","IND"
"Shot Chart Detail","0020000022","270","2059","Eduardo Najera","1610612742","Dallas Mavericks","3","8","6","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001102","DAL","IND"
