"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000340","481","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","2","20","Made Shot","Turnaround Bank Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","75","19","1","1","20101210","GSW","MIA"
"Shot Chart Detail","0021000340","495","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","0","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-147","30","1","0","20101210","GSW","MIA"
"Shot Chart Detail","0021000413","65","202327","Ekpe Udoh","1610612744","Golden State Warriors","1","4","42","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-56","53","1","1","20101220","GSW","HOU"
"Shot Chart Detail","0021000413","71","202327","Ekpe Udoh","1610612744","Golden State Warriors","1","3","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","146","48","1","0","20101220","GSW","HOU"
"Shot Chart Detail","0021000413","416","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","9","34","Made Shot","Putback Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","0","1","1","20101220","GSW","HOU"
"Shot Chart Detail","0021000413","467","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","5","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","2","56","1","0","20101220","GSW","HOU"
"Shot Chart Detail","0021000437","147","202327","Ekpe Udoh","1610612744","Golden State Warriors","2","7","21","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-120","39","1","0","20101225","GSW","POR"
"Shot Chart Detail","0021000437","403","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","10","31","Made Shot","Jump Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-7","33","1","1","20101225","GSW","POR"
"Shot Chart Detail","0021000437","442","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","6","48","Made Shot","Turnaround Fadeaway shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","11","67","99","1","1","20101225","GSW","POR"
"Shot Chart Detail","0021000454","189","202327","Ekpe Udoh","1610612744","Golden State Warriors","2","5","5","Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-45","69","1","0","20101227","GSW","PHI"
"Shot Chart Detail","0021000454","322","202327","Ekpe Udoh","1610612744","Golden State Warriors","3","4","26","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-73","178","1","1","20101227","GSW","PHI"
"Shot Chart Detail","0021000454","351","202327","Ekpe Udoh","1610612744","Golden State Warriors","3","1","2","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-111","127","1","0","20101227","GSW","PHI"
"Shot Chart Detail","0021000462","165","202327","Ekpe Udoh","1610612744","Golden State Warriors","2","6","17","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","4","1","0","20101229","ATL","GSW"
"Shot Chart Detail","0021000462","172","202327","Ekpe Udoh","1610612744","Golden State Warriors","2","5","34","Missed Shot","Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-35","25","1","0","20101229","ATL","GSW"
"Shot Chart Detail","0021000486","346","202327","Ekpe Udoh","1610612744","Golden State Warriors","3","3","2","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-95","52","1","1","20110101","MIA","GSW"
"Shot Chart Detail","0021000486","452","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","7","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","81","14","1","0","20110101","MIA","GSW"
"Shot Chart Detail","0021000500","62","202327","Ekpe Udoh","1610612744","Golden State Warriors","1","5","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","83","151","1","0","20110103","ORL","GSW"
"Shot Chart Detail","0021000500","85","202327","Ekpe Udoh","1610612744","Golden State Warriors","1","4","2","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","13","75","115","1","1","20110103","ORL","GSW"
"Shot Chart Detail","0021000500","88","202327","Ekpe Udoh","1610612744","Golden State Warriors","1","3","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","97","14","1","0","20110103","ORL","GSW"
"Shot Chart Detail","0021000500","127","202327","Ekpe Udoh","1610612744","Golden State Warriors","2","11","8","Made Shot","Hook Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-45","15","1","1","20110103","ORL","GSW"
"Shot Chart Detail","0021000500","135","202327","Ekpe Udoh","1610612744","Golden State Warriors","2","10","4","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-41","55","1","0","20110103","ORL","GSW"
"Shot Chart Detail","0021000500","226","202327","Ekpe Udoh","1610612744","Golden State Warriors","2","1","58","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","45","159","1","1","20110103","ORL","GSW"
"Shot Chart Detail","0021000500","325","202327","Ekpe Udoh","1610612744","Golden State Warriors","3","4","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-101","118","1","0","20110103","ORL","GSW"
"Shot Chart Detail","0021000500","369","202327","Ekpe Udoh","1610612744","Golden State Warriors","3","1","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","166","78","1","0","20110103","ORL","GSW"
"Shot Chart Detail","0021000518","147","202327","Ekpe Udoh","1610612744","Golden State Warriors","2","10","38","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","15","39","1","1","20110105","NOH","GSW"
"Shot Chart Detail","0021000518","489","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","7","40","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","9","1","1","20110105","NOH","GSW"
"Shot Chart Detail","0021000518","520","202327","Ekpe Udoh","1610612744","Golden State Warriors","4","5","20","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-65","22","1","1","20110105","NOH","GSW"
