"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000016","577","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","4","0","2","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","47","61","474","1","0","20101027","LAC","POR"
"Shot Chart Detail","0021000029","517","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","4","0","50","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","23","26","1","0","20101029","GSW","LAC"
"Shot Chart Detail","0021000041","94","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","1","4","37","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-242","-17","1","0","20101031","LAC","DAL"
"Shot Chart Detail","0021000041","190","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","2","10","20","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","56","107","1","1","20101031","LAC","DAL"
"Shot Chart Detail","0021000041","194","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","2","9","40","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","13","44","1","1","20101031","LAC","DAL"
"Shot Chart Detail","0021000041","451","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","4","11","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-150","94","1","1","20101031","LAC","DAL"
"Shot Chart Detail","0021000041","454","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","4","10","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-108","127","1","0","20101031","LAC","DAL"
"Shot Chart Detail","0021000046","29","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","1","8","43","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","103","239","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","47","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","1","6","58","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","1","134","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","60","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","1","5","50","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","47","53","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","136","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","2","11","24","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","4","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","157","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","2","10","7","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","37","44","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","171","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","2","8","49","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-29","15","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","297","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","3","5","18","Made Shot","Fadeaway Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-49","41","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","376","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","4","11","47","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","4","26","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","409","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","4","9","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","129","154","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","416","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","4","8","35","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","36","9","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","426","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","4","8","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","146","167","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000064","9","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","1","10","43","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","14","1","1","20101103","LAC","OKC"
"Shot Chart Detail","0021000064","63","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","1","5","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","3","176","1","0","20101103","LAC","OKC"
"Shot Chart Detail","0021000064","131","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","2","11","35","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","2","58","1","1","20101103","LAC","OKC"
"Shot Chart Detail","0021000064","133","202339","Eric Bledsoe","1610612746","Los Angeles Clippers","2","10","51","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","70","31","1","1","20101103","LAC","OKC"
