"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000011","2","956","Erick Dampier","1610612744","Golden State Warriors","1","11","43","Made Shot","Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-86","0","1","1","20001031","GSW","PHX"
"Shot Chart Detail","0020000011","152","956","Erick Dampier","1610612744","Golden State Warriors","2","11","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-117","28","1","0","20001031","GSW","PHX"
"Shot Chart Detail","0020000011","255","956","Erick Dampier","1610612744","Golden State Warriors","2","2","25","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-39","21","1","0","20001031","GSW","PHX"
"Shot Chart Detail","0020000011","291","956","Erick Dampier","1610612744","Golden State Warriors","3","10","41","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","9","38","1","1","20001031","GSW","PHX"
"Shot Chart Detail","0020000025","8","956","Erick Dampier","1610612744","Golden State Warriors","1","11","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","183","956","Erick Dampier","1610612744","Golden State Warriors","2","7","57","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-1","49","1","0","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","418","956","Erick Dampier","1610612744","Golden State Warriors","4","11","40","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-37","49","1","1","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","430","956","Erick Dampier","1610612744","Golden State Warriors","4","9","21","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-67","15","1","1","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","495","956","Erick Dampier","1610612744","Golden State Warriors","4","2","46","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","497","956","Erick Dampier","1610612744","Golden State Warriors","4","2","44","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","500","956","Erick Dampier","1610612744","Golden State Warriors","4","2","8","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","3","61","1","0","20001102","DEN","GSW"
"Shot Chart Detail","0020000045","2","956","Erick Dampier","1610612744","Golden State Warriors","1","11","40","Made Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","18","19","1","1","20001104","GSW","SAS"
"Shot Chart Detail","0020000045","14","956","Erick Dampier","1610612744","Golden State Warriors","1","10","10","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001104","GSW","SAS"
"Shot Chart Detail","0020000045","36","956","Erick Dampier","1610612744","Golden State Warriors","1","8","22","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-50","13","1","0","20001104","GSW","SAS"
"Shot Chart Detail","0020000045","76","956","Erick Dampier","1610612744","Golden State Warriors","1","3","46","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001104","GSW","SAS"
"Shot Chart Detail","0020000045","241","956","Erick Dampier","1610612744","Golden State Warriors","2","0","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","30","17","1","0","20001104","GSW","SAS"
"Shot Chart Detail","0020000045","256","956","Erick Dampier","1610612744","Golden State Warriors","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","39","-88","380","1","0","20001104","GSW","SAS"
"Shot Chart Detail","0020000045","263","956","Erick Dampier","1610612744","Golden State Warriors","3","11","33","Made Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","13","1","1","20001104","GSW","SAS"
