"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500008","163","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","2","9","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-11","249","1","0","20151028","MIA","CHA"
"Shot Chart Detail","0021500008","186","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","2","6","53","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-73","-1","1","0","20151028","MIA","CHA"
"Shot Chart Detail","0021500026","222","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","2","4","33","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","114","218","1","1","20151030","ATL","CHA"
"Shot Chart Detail","0021500026","261","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","2","1","40","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","-6","124","1","1","20151030","ATL","CHA"
"Shot Chart Detail","0021500026","268","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","2","0","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-92","219","1","0","20151030","ATL","CHA"
"Shot Chart Detail","0021500026","419","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","4","10","15","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","25","26","1","0","20151030","ATL","CHA"
"Shot Chart Detail","0021500026","439","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","4","8","45","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","7","1","0","20151030","ATL","CHA"
"Shot Chart Detail","0021500039","140","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","2","7","12","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-140","213","1","1","20151101","CHA","ATL"
"Shot Chart Detail","0021500053","149","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","2","7","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","143","97","1","0","20151103","CHA","CHI"
"Shot Chart Detail","0021500053","171","1626163","Frank Kaminsky","1610612766","Charlotte Hornets","2","5","20","Made Shot","Jump Bank Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","9","249","1","1","20151103","CHA","CHI"
