"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700015","229","1628373","Frank Ntilikina","1610612752","New York Knicks","2","8","32","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","109","43","1","0","20171019","OKC","NYK"
"Shot Chart Detail","0021700015","260","1628373","Frank Ntilikina","1610612752","New York Knicks","2","6","25","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","139","54","1","0","20171019","OKC","NYK"
"Shot Chart Detail","0021700073","123","1628373","Frank Ntilikina","1610612752","New York Knicks","1","0","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-140","162","1","0","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","155","1628373","Frank Ntilikina","1610612752","New York Knicks","2","10","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-112","225","1","0","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","161","1628373","Frank Ntilikina","1610612752","New York Knicks","2","10","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","17","135","1","0","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","213","1628373","Frank Ntilikina","1610612752","New York Knicks","2","6","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","107","188","1","0","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","406","1628373","Frank Ntilikina","1610612752","New York Knicks","3","5","39","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-201","61","1","0","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","473","1628373","Frank Ntilikina","1610612752","New York Knicks","3","0","49","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-101","195","1","1","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","492","1628373","Frank Ntilikina","1610612752","New York Knicks","4","11","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","123","47","1","0","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","505","1628373","Frank Ntilikina","1610612752","New York Knicks","4","10","5","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-108","225","1","1","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","640","1628373","Frank Ntilikina","1610612752","New York Knicks","4","1","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-187","13","1","1","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","643","1628373","Frank Ntilikina","1610612752","New York Knicks","4","1","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","101","97","1","0","20171027","NYK","BKN"
"Shot Chart Detail","0021700073","655","1628373","Frank Ntilikina","1610612752","New York Knicks","4","0","47","Made Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","93","91","1","1","20171027","NYK","BKN"
"Shot Chart Detail","0021700090","157","1628373","Frank Ntilikina","1610612752","New York Knicks","2","11","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","22","-184","132","1","0","20171029","CLE","NYK"
"Shot Chart Detail","0021700090","161","1628373","Frank Ntilikina","1610612752","New York Knicks","2","10","58","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","121","45","1","1","20171029","CLE","NYK"
"Shot Chart Detail","0021700090","475","1628373","Frank Ntilikina","1610612752","New York Knicks","3","1","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-105","238","1","1","20171029","CLE","NYK"
"Shot Chart Detail","0021700090","499","1628373","Frank Ntilikina","1610612752","New York Knicks","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","33","-127","315","1","0","20171029","CLE","NYK"
"Shot Chart Detail","0021700090","521","1628373","Frank Ntilikina","1610612752","New York Knicks","4","10","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","85","244","1","0","20171029","CLE","NYK"
"Shot Chart Detail","0021700094","132","1628373","Frank Ntilikina","1610612752","New York Knicks","1","0","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-163","44","1","0","20171030","NYK","DEN"
"Shot Chart Detail","0021700094","181","1628373","Frank Ntilikina","1610612752","New York Knicks","2","9","10","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-116","235","1","0","20171030","NYK","DEN"
"Shot Chart Detail","0021700094","468","1628373","Frank Ntilikina","1610612752","New York Knicks","3","2","33","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","13","1","1","20171030","NYK","DEN"
"Shot Chart Detail","0021700094","508","1628373","Frank Ntilikina","1610612752","New York Knicks","3","0","0","Missed Shot","Running Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","40","-158","368","1","0","20171030","NYK","DEN"
"Shot Chart Detail","0021700094","524","1628373","Frank Ntilikina","1610612752","New York Knicks","4","10","42","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-29","255","1","1","20171030","NYK","DEN"
"Shot Chart Detail","0021700111","129","1628373","Frank Ntilikina","1610612752","New York Knicks","1","1","36","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","122","221","1","0","20171101","NYK","HOU"
"Shot Chart Detail","0021700111","146","1628373","Frank Ntilikina","1610612752","New York Knicks","1","0","11","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","162","160","1","1","20171101","NYK","HOU"
"Shot Chart Detail","0021700111","162","1628373","Frank Ntilikina","1610612752","New York Knicks","2","10","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","5","267","1","0","20171101","NYK","HOU"
"Shot Chart Detail","0021700111","185","1628373","Frank Ntilikina","1610612752","New York Knicks","2","9","8","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-17","12","1","0","20171101","NYK","HOU"
