"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000014","581","201814","Gary Forbes","1610612743","Denver Nuggets","4","4","5","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","-5","1","1","20101027","DEN","UTA"
"Shot Chart Detail","0021000014","587","201814","Gary Forbes","1610612743","Denver Nuggets","4","2","59","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-10","39","1","0","20101027","DEN","UTA"
"Shot Chart Detail","0021000037","143","201814","Gary Forbes","1610612743","Denver Nuggets","2","11","21","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","-3","1","0","20101030","HOU","DEN"
"Shot Chart Detail","0021000037","153","201814","Gary Forbes","1610612743","Denver Nuggets","2","10","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","6","1","0","20101030","HOU","DEN"
"Shot Chart Detail","0021000037","155","201814","Gary Forbes","1610612743","Denver Nuggets","2","10","8","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","7","1","0","20101030","HOU","DEN"
"Shot Chart Detail","0021000060","15","201814","Gary Forbes","1610612743","Denver Nuggets","1","9","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","166","66","1","0","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","29","201814","Gary Forbes","1610612743","Denver Nuggets","1","7","50","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-229","26","1","0","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","39","201814","Gary Forbes","1610612743","Denver Nuggets","1","7","14","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","48","42","1","1","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","60","201814","Gary Forbes","1610612743","Denver Nuggets","1","4","52","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","4","1","1","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","147","201814","Gary Forbes","1610612743","Denver Nuggets","2","9","25","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","78","194","1","1","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","166","201814","Gary Forbes","1610612743","Denver Nuggets","2","7","54","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","152","113","1","1","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","172","201814","Gary Forbes","1610612743","Denver Nuggets","2","7","12","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","26","1","1","1","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","179","201814","Gary Forbes","1610612743","Denver Nuggets","2","6","29","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","248","14","1","0","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","208","201814","Gary Forbes","1610612743","Denver Nuggets","2","4","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","17","1","0","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","220","201814","Gary Forbes","1610612743","Denver Nuggets","2","3","44","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","140","15","1","0","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","249","201814","Gary Forbes","1610612743","Denver Nuggets","2","2","3","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","7","1","1","20101103","DEN","DAL"
"Shot Chart Detail","0021000060","329","201814","Gary Forbes","1610612743","Denver Nuggets","3","6","33","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","26","78","1","0","20101103","DEN","DAL"
"Shot Chart Detail","0021000085","43","201814","Gary Forbes","1610612743","Denver Nuggets","1","7","2","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","17","1","1","20101106","DAL","DEN"
"Shot Chart Detail","0021000085","64","201814","Gary Forbes","1610612743","Denver Nuggets","1","4","30","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-97","239","1","1","20101106","DAL","DEN"
"Shot Chart Detail","0021000085","278","201814","Gary Forbes","1610612743","Denver Nuggets","3","10","12","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","17","25","1","0","20101106","DAL","DEN"
"Shot Chart Detail","0021000085","283","201814","Gary Forbes","1610612743","Denver Nuggets","3","9","33","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-224","11","1","1","20101106","DAL","DEN"
