"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000039","323","202390","Gary Neal","1610612759","San Antonio Spurs","3","4","59","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","214","126","1","1","20101030","SAS","NOH"
"Shot Chart Detail","0021000039","344","202390","Gary Neal","1610612759","San Antonio Spurs","3","3","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-45","242","1","0","20101030","SAS","NOH"
"Shot Chart Detail","0021000039","363","202390","Gary Neal","1610612759","San Antonio Spurs","3","1","8","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","10","58","88","1","0","20101030","SAS","NOH"
"Shot Chart Detail","0021000039","395","202390","Gary Neal","1610612759","San Antonio Spurs","4","10","41","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-10","82","1","1","20101030","SAS","NOH"
"Shot Chart Detail","0021000039","450","202390","Gary Neal","1610612759","San Antonio Spurs","4","3","16","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-185","165","1","1","20101030","SAS","NOH"
"Shot Chart Detail","0021000039","468","202390","Gary Neal","1610612759","San Antonio Spurs","4","0","50","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-223","55","1","0","20101030","SAS","NOH"
"Shot Chart Detail","0021000046","108","202390","Gary Neal","1610612759","San Antonio Spurs","1","1","30","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","61","252","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","111","202390","Gary Neal","1610612759","San Antonio Spurs","1","0","59","Made Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","89","22","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","134","202390","Gary Neal","1610612759","San Antonio Spurs","2","11","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","147","201","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","138","202390","Gary Neal","1610612759","San Antonio Spurs","2","11","2","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","171","184","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","159","202390","Gary Neal","1610612759","San Antonio Spurs","2","10","2","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","81","123","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","169","202390","Gary Neal","1610612759","San Antonio Spurs","2","9","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-152","192","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","252","202390","Gary Neal","1610612759","San Antonio Spurs","2","0","36","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","37","212","309","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","342","202390","Gary Neal","1610612759","San Antonio Spurs","3","1","31","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","204","137","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","393","202390","Gary Neal","1610612759","San Antonio Spurs","4","10","25","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-114","216","1","1","20101101","LAC","SAS"
"Shot Chart Detail","0021000046","424","202390","Gary Neal","1610612759","San Antonio Spurs","4","8","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-82","235","1","0","20101101","LAC","SAS"
"Shot Chart Detail","0021000062","89","202390","Gary Neal","1610612759","San Antonio Spurs","1","4","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-128","227","1","0","20101103","PHX","SAS"
"Shot Chart Detail","0021000062","121","202390","Gary Neal","1610612759","San Antonio Spurs","1","1","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","138","208","1","0","20101103","PHX","SAS"
"Shot Chart Detail","0021000062","135","202390","Gary Neal","1610612759","San Antonio Spurs","2","11","28","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-117","107","1","1","20101103","PHX","SAS"
"Shot Chart Detail","0021000084","51","202390","Gary Neal","1610612759","San Antonio Spurs","1","5","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-160","99","1","0","20101106","SAS","HOU"
"Shot Chart Detail","0021000084","111","202390","Gary Neal","1610612759","San Antonio Spurs","2","10","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","133","15","1","0","20101106","SAS","HOU"
"Shot Chart Detail","0021000084","113","202390","Gary Neal","1610612759","San Antonio Spurs","2","10","44","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-123","-6","1","1","20101106","SAS","HOU"
"Shot Chart Detail","0021000084","126","202390","Gary Neal","1610612759","San Antonio Spurs","2","9","47","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-224","-11","1","0","20101106","SAS","HOU"
"Shot Chart Detail","0021000084","132","202390","Gary Neal","1610612759","San Antonio Spurs","2","9","23","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-43","20","1","0","20101106","SAS","HOU"
"Shot Chart Detail","0021000084","140","202390","Gary Neal","1610612759","San Antonio Spurs","2","8","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-168","173","1","1","20101106","SAS","HOU"
"Shot Chart Detail","0021000084","146","202390","Gary Neal","1610612759","San Antonio Spurs","2","7","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","122","138","1","0","20101106","SAS","HOU"
"Shot Chart Detail","0021000084","355","202390","Gary Neal","1610612759","San Antonio Spurs","3","1","43","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","236","63","1","0","20101106","SAS","HOU"
"Shot Chart Detail","0021000084","388","202390","Gary Neal","1610612759","San Antonio Spurs","4","11","0","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","9","41","1","0","20101106","SAS","HOU"
"Shot Chart Detail","0021000095","153","202390","Gary Neal","1610612759","San Antonio Spurs","2","10","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","4","1","0","20101108","CHA","SAS"
"Shot Chart Detail","0021000095","162","202390","Gary Neal","1610612759","San Antonio Spurs","2","9","3","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","45","1","1","20101108","CHA","SAS"
"Shot Chart Detail","0021000095","181","202390","Gary Neal","1610612759","San Antonio Spurs","2","6","42","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","27","-78","266","1","1","20101108","CHA","SAS"
"Shot Chart Detail","0021000095","202","202390","Gary Neal","1610612759","San Antonio Spurs","2","4","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-48","249","1","0","20101108","CHA","SAS"
"Shot Chart Detail","0021000095","399","202390","Gary Neal","1610612759","San Antonio Spurs","4","11","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","7","250","1","0","20101108","CHA","SAS"
"Shot Chart Detail","0021000095","436","202390","Gary Neal","1610612759","San Antonio Spurs","4","8","47","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","125","225","1","1","20101108","CHA","SAS"
