"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020100011","194","2222","Gerald Wallace","1610612758","Sacramento Kings","2","5","3","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011030","SAC","SEA"
"Shot Chart Detail","0020100042","509","2222","Gerald Wallace","1610612758","Sacramento Kings","4","0","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-111","4","1","1","20011103","DEN","SAC"
"Shot Chart Detail","0020100050","479","2222","Gerald Wallace","1610612758","Sacramento Kings","4","1","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011104","SAC","SAS"
"Shot Chart Detail","0020100128","391","2222","Gerald Wallace","1610612758","Sacramento Kings","4","8","17","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-54","47","1","0","20011116","SAC","CHI"
"Shot Chart Detail","0020100128","403","2222","Gerald Wallace","1610612758","Sacramento Kings","4","6","23","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","43","7","1","0","20011116","SAC","CHI"
"Shot Chart Detail","0020100128","415","2222","Gerald Wallace","1610612758","Sacramento Kings","4","5","26","Missed Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011116","SAC","CHI"
"Shot Chart Detail","0020100128","438","2222","Gerald Wallace","1610612758","Sacramento Kings","4","3","6","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011116","SAC","CHI"
"Shot Chart Detail","0020100128","453","2222","Gerald Wallace","1610612758","Sacramento Kings","4","1","43","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","16","51","1","0","20011116","SAC","CHI"
"Shot Chart Detail","0020100128","474","2222","Gerald Wallace","1610612758","Sacramento Kings","4","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","43","-216","373","1","0","20011116","SAC","CHI"
"Shot Chart Detail","0020100145","439","2222","Gerald Wallace","1610612758","Sacramento Kings","4","0","18","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-176","-8","1","1","20011119","SAC","HOU"
