"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020700058","397","201175","Glen Davis","1610612738","Boston Celtics","4","5","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","103","0","1","0","20071107","BOS","DEN"
"Shot Chart Detail","0020700058","406","201175","Glen Davis","1610612738","Boston Celtics","4","4","54","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","41","40","1","0","20071107","BOS","DEN"
"Shot Chart Detail","0020700058","422","201175","Glen Davis","1610612738","Boston Celtics","4","3","32","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","16","3","1","1","20071107","BOS","DEN"
"Shot Chart Detail","0020700081","171","201175","Glen Davis","1610612738","Boston Celtics","2","4","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071110","NJN","BOS"
"Shot Chart Detail","0020700081","182","201175","Glen Davis","1610612738","Boston Celtics","2","3","53","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071110","NJN","BOS"
"Shot Chart Detail","0020700081","261","201175","Glen Davis","1610612738","Boston Celtics","3","9","38","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071110","NJN","BOS"
"Shot Chart Detail","0020700081","308","201175","Glen Davis","1610612738","Boston Celtics","3","4","11","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071110","NJN","BOS"
"Shot Chart Detail","0020700081","342","201175","Glen Davis","1610612738","Boston Celtics","3","0","11","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071110","NJN","BOS"
"Shot Chart Detail","0020700108","126","201175","Glen Davis","1610612738","Boston Celtics","2","11","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","12","1","0","20071114","BOS","NJN"
"Shot Chart Detail","0020700108","348","201175","Glen Davis","1610612738","Boston Celtics","3","0","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-57","38","1","0","20071114","BOS","NJN"
"Shot Chart Detail","0020700108","384","201175","Glen Davis","1610612738","Boston Celtics","4","8","15","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","3","5","1","0","20071114","BOS","NJN"
