"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100028","79","201880","Greg Stiemsma","1610612738","Boston Celtics","1","4","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","20","1","0","20111228","NOH","BOS"
"Shot Chart Detail","0021100028","366","201880","Greg Stiemsma","1610612738","Boston Celtics","3","2","38","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","36","6","1","1","20111228","NOH","BOS"
"Shot Chart Detail","0021100041","376","201880","Greg Stiemsma","1610612738","Boston Celtics","4","9","17","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","20","1","0","20111230","BOS","DET"
"Shot Chart Detail","0021100057","237","201880","Greg Stiemsma","1610612738","Boston Celtics","2","2","30","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","7","1","1","20120101","WAS","BOS"
"Shot Chart Detail","0021100057","259","201880","Greg Stiemsma","1610612738","Boston Celtics","2","0","33","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","0","52","1","0","20120101","WAS","BOS"
"Shot Chart Detail","0021100057","419","201880","Greg Stiemsma","1610612738","Boston Celtics","4","10","22","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","165","14","1","1","20120101","WAS","BOS"
"Shot Chart Detail","0021100057","429","201880","Greg Stiemsma","1610612738","Boston Celtics","4","8","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","94","97","1","0","20120101","WAS","BOS"
"Shot Chart Detail","0021100067","5","201880","Greg Stiemsma","1610612738","Boston Celtics","1","11","2","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","37","6","1","0","20120102","BOS","WAS"
"Shot Chart Detail","0021100067","17","201880","Greg Stiemsma","1610612738","Boston Celtics","1","10","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-4","20","1","1","20120102","BOS","WAS"
"Shot Chart Detail","0021100067","55","201880","Greg Stiemsma","1610612738","Boston Celtics","1","7","57","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","177","31","1","1","20120102","BOS","WAS"
