"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100117","170","202970","Gustavo Ayon","1610612740","New Orleans Hornets","2","6","31","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","12","1","1","20120107","DAL","NOH"
"Shot Chart Detail","0021100148","121","202970","Gustavo Ayon","1610612740","New Orleans Hornets","1","0","26","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","12","1","1","20120111","NOH","OKC"
"Shot Chart Detail","0021100163","389","202970","Gustavo Ayon","1610612740","New Orleans Hornets","3","0","2","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","16","19","1","1","20120113","NOH","MIN"
"Shot Chart Detail","0021100163","446","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","6","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","12","1","0","20120113","NOH","MIN"
"Shot Chart Detail","0021100163","455","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","5","35","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","12","1","1","20120113","NOH","MIN"
"Shot Chart Detail","0021100163","475","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","4","39","Made Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","6","42","1","1","20120113","NOH","MIN"
"Shot Chart Detail","0021100163","537","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","1","32","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","7","28","1","0","20120113","NOH","MIN"
"Shot Chart Detail","0021100175","122","202970","Gustavo Ayon","1610612740","New Orleans Hornets","1","2","0","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","3","1","0","20120114","MEM","NOH"
"Shot Chart Detail","0021100175","414","202970","Gustavo Ayon","1610612740","New Orleans Hornets","3","0","50","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","6","1","1","20120114","MEM","NOH"
"Shot Chart Detail","0021100175","439","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","10","53","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","12","1","1","20120114","MEM","NOH"
"Shot Chart Detail","0021100175","448","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","10","9","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","7","1","1","20120114","MEM","NOH"
"Shot Chart Detail","0021100175","538","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","2","37","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-1","0","1","0","20120114","MEM","NOH"
"Shot Chart Detail","0021100190","169","202970","Gustavo Ayon","1610612740","New Orleans Hornets","2","5","4","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","15","1","1","20120116","NOH","POR"
"Shot Chart Detail","0021100190","179","202970","Gustavo Ayon","1610612740","New Orleans Hornets","2","3","55","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","15","1","1","20120116","NOH","POR"
"Shot Chart Detail","0021100190","191","202970","Gustavo Ayon","1610612740","New Orleans Hornets","2","2","55","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","9","1","1","20120116","NOH","POR"
"Shot Chart Detail","0021100190","379","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","10","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","99","156","1","0","20120116","NOH","POR"
"Shot Chart Detail","0021100190","403","202970","Gustavo Ayon","1610612740","New Orleans Hornets","4","6","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","20","1","1","20120116","NOH","POR"
"Shot Chart Detail","0021100209","142","202970","Gustavo Ayon","1610612740","New Orleans Hornets","2","7","12","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-5","97","1","0","20120118","NOH","MEM"
