"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000992","528","202380","Hamady Ndiaye","1610612764","Washington Wizards","4","1","43","Made Shot","Dunk Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","20","-35","1","1","20110314","WAS","OKC"
"Shot Chart Detail","0021000992","531","202380","Hamady Ndiaye","1610612764","Washington Wizards","4","1","12","Made Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-123","-30","1","1","20110314","WAS","OKC"
"Shot Chart Detail","0021001001","230","202380","Hamady Ndiaye","1610612764","Washington Wizards","2","0","52","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-15","15","1","1","20110315","CHI","WAS"
"Shot Chart Detail","0021001019","447","202380","Hamady Ndiaye","1610612764","Washington Wizards","3","0","16","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-111","89","1","0","20110318","TOR","WAS"
"Shot Chart Detail","0021001076","432","202380","Hamady Ndiaye","1610612764","Washington Wizards","4","11","30","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20110325","DEN","WAS"
"Shot Chart Detail","0021100342","518","202380","Hamady Ndiaye","1610612764","Washington Wizards","4","1","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-2","-17","1","0","20120204","WAS","LAC"
"Shot Chart Detail","0021300040","479","202380","Hamady Ndiaye","1610612758","Sacramento Kings","4","3","0","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","18","26","1","0","20131102","GSW","SAC"
"Shot Chart Detail","0021300040","503","202380","Hamady Ndiaye","1610612758","Sacramento Kings","4","0","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-11","20","1","0","20131102","GSW","SAC"
"Shot Chart Detail","0021300148","120","202380","Hamady Ndiaye","1610612758","Sacramento Kings","2","10","48","Missed Shot","Jump Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","95","23","1","0","20131117","SAC","MEM"
"Shot Chart Detail","0021300148","350","202380","Hamady Ndiaye","1610612758","Sacramento Kings","4","11","1","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","17","1","1","20131117","SAC","MEM"
"Shot Chart Detail","0021300240","126","202380","Hamady Ndiaye","1610612758","Sacramento Kings","2","11","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","14","1","0","20131129","SAC","LAC"
"Shot Chart Detail","0021300267","158","202380","Hamady Ndiaye","1610612758","Sacramento Kings","2","10","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","43","165","1","0","20131203","SAC","OKC"
"Shot Chart Detail","0021300309","152","202380","Hamady Ndiaye","1610612758","Sacramento Kings","2","11","48","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","15","1","0","20131209","SAC","DAL"
"Shot Chart Detail","0021300309","577","202380","Hamady Ndiaye","1610612758","Sacramento Kings","4","2","22","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","10","78","1","1","20131209","SAC","DAL"
"Shot Chart Detail","0021300325","489","202380","Hamady Ndiaye","1610612758","Sacramento Kings","4","1","2","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","7","1","1","20131211","SAC","UTA"
